Day,S,E,I,R
0,19963,17,16,4
1,19953,22,18,7
2,19943,30,15,12
3,19929,36,23,12
4,19899,56,29,16
5,19872,68,40,20
6,19822,96,57,25
7,19772,127,71,30
8,19712,149,99,40
9,19611,204,133,52
10,19484,270,178,68
11,19341,332,242,85
12,19162,428,290,120
13,18933,543,359,165
14,18622,712,458,208
15,18227,908,593,272
16,17741,1140,769,350
17,17139,1449,953,459
18,16419,1754,1250,577
19,15515,2137,1626,722
20,14405,2655,1997,943
21,13158,3182,2482,1178
22,11843,3544,3117,1496
23,10386,4008,3687,1919
24,8850,4458,4289,2403
25,7392,4660,5021,2927
26,6055,4720,5625,3600
27,4814,4617,6236,4333
28,3757,4390,6722,5131
29,2881,3993,7141,5985
30,2167,3573,7284,6976
31,1644,3113,7303,7940
32,1229,2638,7250,8883
33,985,2165,7044,9806
34,808,1747,6712,10733
35,654,1433,6315,11598
36,542,1188,5850,12420
37,458,974,5383,13185
38,443,761,4935,13861
39,411,611,4467,14511
40,392,503,4042,15063
41,396,410,3622,15572
42,403,333,3275,15989
43,411,282,2912,16395
44,417,229,2616,16738
45,453,190,2339,17018
46,489,172,2090,17249
47,498,159,1835,17508
48,535,141,1629,17695
49,572,123,1444,17861
50,612,119,1289,17980
51,644,112,1132,18112
52,674,95,1024,18207
53,717,81,923,18279
54,777,73,809,18341
55,847,67,724,18362
56,883,71,641,18405
57,926,65,574,18435
58,974,50,516,18460
59,1021,51,460,18468
60,1063,58,415,18464
61,1112,46,364,18478
62,1174,50,326,18450
63,1202,53,293,18452
64,1275,34,270,18421
65,1335,38,239,18388
66,1389,44,213,18354
67,1452,46,172,18330
68,1517,43,157,18283
69,1573,41,146,18240
70,1632,39,134,18195
71,1684,37,122,18157
72,1737,33,118,18112
73,1791,33,102,18074
74,1834,30,98,18038
75,1897,28,92,17983
76,1962,28,85,17925
77,2006,21,80,17893
78,2055,24,70,17851
79,2115,19,64,17802
80,2173,17,59,17751
81,2235,18,49,17698
82,2277,15,52,17656
83,2332,14,47,17607
84,2398,10,44,17548
85,2457,13,42,17488
86,2524,15,37,17424
87,2579,11,38,17372
88,2628,12,34,17326
89,2675,13,30,17282
90,2729,10,30,17231
91,2784,9,29,17178
92,2842,12,28,17118
93,2903,14,24,17059
94,2954,13,25,17008
95,2987,11,27,16975
96,3026,10,27,16937
97,3078,8,25,16889
98,3127,9,24,16840
99,3172,8,25,16795
100,3225,14,25,16736
101,3273,13,27,16687
102,3335,12,28,16625
103,3386,12,25,16577
104,3431,11,25,16533
105,3493,13,27,16467
106,3542,12,27,16419
107,3591,15,26,16368
108,3624,18,26,16332
109,3662,18,29,16291
110,3704,19,30,16247
111,3734,20,29,16217
112,3771,17,30,16182
113,3822,17,29,16132
114,3866,15,26,16093
115,3914,13,28,16045
116,3959,12,27,16002
117,4004,14,26,15956
118,4041,12,29,15918
119,4095,13,30,15862
120,4130,13,32,15825
121,4183,11,33,15773
122,4224,15,35,15726
123,4261,16,36,15687
124,4300,14,36,15650
125,4342,13,38,15607
126,4379,16,37,15568
127,4420,23,34,15523
128,4466,23,36,15475
129,4498,26,34,15442
130,4539,23,41,15397
131,4581,19,42,15358
132,4624,23,46,15307
133,4653,27,48,15272
134,4681,31,47,15241
135,4720,31,50,15199
136,4759,38,47,15156
137,4788,41,50,15121
138,4823,42,55,15080
139,4853,40,62,15045
140,4899,33,72,14996
141,4926,36,70,14968
142,4953,41,70,14936
143,4985,35,75,14905
144,5012,43,75,14870
145,5036,44,87,14833
146,5055,51,93,14801
147,5079,56,91,14774
148,5103,57,90,14750
149,5129,56,100,14715
150,5154,54,102,14690
151,5177,63,100,14660
152,5185,70,109,14636
153,5192,82,117,14609
154,5212,93,123,14572
155,5234,89,138,14539
156,5260,85,144,14511
157,5265,98,145,14492
158,5276,94,162,14468
159,5288,106,160,14446
160,5313,109,139,14439
161,5341,104,145,14410
162,5357,104,159,14380
163,5371,102,178,14349
164,5385,104,175,14336
165,5395,109,174,14322
166,5401,118,178,14303
167,5414,121,193,14272
168,5402,119,202,14277
169,5394,143,213,14250
170,5390,148,226,14236
171,5382,157,241,14220
172,5357,168,261,14214
173,5377,173,269,14181
174,5362,180,284,14174
175,5350,195,305,14150
176,5338,195,325,14142
177,5325,200,338,14137
178,5305,192,361,14142
179,5290,201,366,14143
180,5264,216,387,14133
181,5231,248,379,14142
182,5198,255,388,14159
183,5180,252,411,14157
184,5141,268,415,14176
185,5093,282,436,14189
186,5047,293,458,14202
187,4994,318,478,14210
188,4945,335,493,14227
189,4890,348,531,14231
190,4842,330,577,14251
191,4797,355,558,14290
192,4756,356,582,14306
193,4705,352,611,14332
194,4645,354,612,14389
195,4588,354,644,14414
196,4529,342,666,14463
197,4438,374,674,14514
198,4363,391,691,14555
199,4305,398,699,14598
200,4241,392,710,14657
201,4179,387,732,14702
202,4102,407,739,14752
203,4040,421,758,14781
204,3982,408,764,14846
205,3930,406,762,14902
206,3847,424,791,14938
207,3786,425,819,14970
208,3722,432,827,15019
209,3677,424,828,15071
210,3618,419,835,15128
