Day,S,E,I,R
0,19962,18,17,3
1,19949,28,17,6
2,19935,34,25,6
3,19907,50,31,12
4,19874,68,43,15
5,19845,81,51,23
6,19808,103,62,27
7,19759,126,79,36
8,19677,174,102,47
9,19581,218,133,68
10,19478,277,149,96
11,19353,333,206,108
12,19167,428,267,138
13,18918,563,347,172
14,18580,739,458,223
15,18218,896,599,287
16,17726,1134,776,364
17,17114,1434,995,457
18,16392,1765,1250,593
19,15509,2158,1575,758
20,14469,2610,1960,961
21,13284,3088,2414,1214
22,11929,3568,2986,1517
23,10469,4031,3590,1910
24,8983,4389,4262,2366
25,7499,4653,4973,2875
26,6070,4804,5606,3520
27,4802,4756,6168,4274
28,3645,4549,6728,5078
29,2757,4187,7129,5927
30,2123,3658,7348,6871
31,1593,3199,7353,7855
32,1195,2714,7280,8811
33,940,2206,7141,9713
34,738,1763,6856,10643
35,603,1484,6393,11520
36,512,1160,6015,12313
37,432,941,5510,13117
38,372,766,5016,13846
39,348,604,4557,14491
40,354,472,4120,15054
41,355,376,3714,15555
42,360,289,3334,16017
43,376,242,2987,16395
44,395,201,2669,16735
45,408,167,2340,17085
46,445,141,2086,17328
47,469,125,1815,17591
48,499,118,1634,17749
49,532,117,1433,17918
50,575,99,1271,18055
51,607,100,1132,18161
52,656,98,1006,18240
53,707,88,891,18314
54,760,81,792,18367
55,816,72,707,18405
56,863,59,639,18439
57,903,61,581,18455
58,955,67,514,18464
59,988,71,454,18487
60,1040,66,412,18482
61,1088,63,373,18476
62,1137,65,317,18481
63,1184,52,289,18475
64,1233,48,265,18454
65,1296,42,236,18426
66,1370,44,214,18372
67,1423,45,185,18347
68,1477,39,166,18318
69,1538,32,152,18278
70,1589,30,133,18248
71,1638,27,123,18212
72,1680,35,116,18169
73,1731,31,108,18130
74,1774,34,96,18096
75,1830,34,84,18052
76,1880,23,80,18017
77,1937,25,73,17965
78,1986,22,72,17920
79,2035,15,69,17881
80,2085,14,64,17837
81,2133,12,55,17800
82,2190,12,58,17740
83,2237,13,54,17696
84,2291,16,48,17645
85,2345,16,45,17594
86,2393,18,43,17546
87,2441,20,41,17498
88,2510,15,43,17432
89,2562,12,42,17384
90,2628,17,38,17317
91,2666,17,38,17279
92,2712,20,38,17230
93,2773,17,42,17168
94,2828,14,41,17117
95,2881,16,35,17068
96,2916,21,34,17029
97,2974,12,37,16977
98,3023,7,39,16931
99,3058,5,39,16898
100,3112,7,37,16844
101,3157,12,34,16797
102,3205,15,29,16751
103,3255,11,33,16701
104,3313,12,32,16643
105,3347,14,30,16609
106,3396,14,31,16559
107,3451,13,26,16510
108,3491,14,28,16467
109,3542,14,26,16418
110,3584,16,29,16371
111,3635,13,34,16318
112,3668,17,39,16276
113,3715,18,34,16233
114,3741,22,30,16207
115,3794,21,26,16159
116,3836,20,26,16118
117,3875,20,26,16079
118,3911,20,28,16041
119,3953,23,29,15995
120,3991,20,32,15957
121,4038,18,35,15909
122,4078,21,30,15871
123,4118,25,31,15826
124,4160,27,29,15784
125,4199,21,40,15740
126,4239,17,44,15700
127,4276,18,45,15661
128,4323,17,43,15617
129,4355,17,43,15585
130,4398,14,45,15543
131,4433,25,42,15500
132,4476,21,43,15460
133,4511,27,44,15418
134,4544,26,48,15382
135,4590,25,51,15334
136,4628,23,52,15297
137,4656,24,53,15267
138,4699,23,48,15230
139,4740,27,49,15184
140,4780,23,46,15151
141,4810,30,45,15115
142,4847,37,47,15069
143,4897,32,51,15020
144,4928,31,49,14992
145,4966,37,54,14943
146,5013,37,54,14896
147,5059,39,59,14843
148,5099,39,61,14801
149,5127,45,66,14762
150,5148,48,72,14732
151,5161,64,68,14707
152,5191,67,76,14666
153,5232,63,81,14624
154,5255,67,80,14598
155,5284,69,83,14564
156,5300,66,93,14541
157,5329,63,96,14512
158,5355,62,108,14475
159,5382,68,110,14440
160,5400,76,113,14411
161,5414,77,121,14388
162,5440,80,120,14360
163,5463,76,133,14328
164,5479,86,134,14301
165,5496,81,138,14285
166,5514,76,147,14263
167,5524,92,139,14245
168,5537,96,145,14222
169,5550,106,142,14202
170,5560,104,162,14174
171,5563,113,177,14147
172,5557,122,193,14128
173,5538,127,214,14121
174,5538,135,234,14093
175,5527,145,242,14086
176,5523,158,246,14073
177,5515,156,250,14079
178,5514,160,269,14057
179,5494,165,284,14057
180,5469,192,283,14056
181,5440,206,295,14059
182,5416,215,309,14060
183,5402,216,333,14049
184,5362,233,335,14070
185,5338,247,343,14072
186,5309,250,367,14074
187,5284,260,389,14067
188,5261,254,432,14053
189,5218,285,435,14062
190,5202,290,444,14064
191,5141,325,462,14072
192,5093,334,481,14092
193,5065,318,500,14117
194,5025,329,513,14133
195,4989,328,537,14146
196,4926,367,560,14147
197,4875,340,609,14176
198,4824,342,628,14206
199,4771,347,637,14245
200,4693,389,654,14264
201,4609,378,715,14298
202,4529,407,707,14357
203,4458,410,734,14398
204,4382,454,734,14430
205,4305,441,763,14491
206,4254,419,786,14541
207,4198,425,807,14570
208,4131,422,824,14623
209,4068,427,824,14681
210,3987,436,850,14727
211,3929,430,863,14778
212,3869,426,865,14840
213,3796,452,861,14891
214,3709,487,867,14937
215,3676,465,895,14964
216,3621,451,900,15028
217,3556,449,915,15080
218,3503,427,908,15162
219,3435,443,888,15234
220,3405,412,913,15270
221,3357,416,913,15314
222,3313,402,904,15381
223,3282,398,871,15449
224,3216,417,872,15495
225,3188,411,851,15550
226,3167,391,855,15587
227,3135,374,869,15622
228,3101,375,869,15655
229,3073,373,854,15700
230,3041,379,860,15720
231,3004,366,858,15772
232,2964,376,845,15815
233,2977,331,838,15854
234,2954,331,812,15903
235,2939,326,805,15930
236,2952,315,783,15950
237,2920,335,750,15995
238,2928,305,760,16007
239,2943,279,749,16029
240,2935,268,751,16046
241,2903,273,709,16115
242,2897,276,706,16121
243,2897,274,676,16153
244,2890,284,646,16180
245,2889,276,629,16206
246,2908,259,620,16213
247,2891,261,609,16239
248,2901,255,600,16244
249,2934,251,586,16229
250,2972,251,557,16220
251,2971,254,546,16229
252,2987,246,542,16225
