Day,S,E,I,R
0,19969,11,17,3
1,19960,20,16,4
2,19941,33,20,6
3,19918,46,28,8
4,19898,59,30,13
5,19871,71,45,13
6,19825,96,58,21
7,19777,113,81,29
8,19713,146,103,38
9,19634,172,135,59
10,19513,251,159,77
11,19366,324,210,100
12,19190,416,274,120
13,18964,526,365,145
14,18651,676,481,192
15,18224,922,598,256
16,17734,1160,769,337
17,17097,1459,1012,432
18,16331,1804,1287,578
19,15464,2168,1632,736
20,14460,2576,2015,949
21,13168,3105,2545,1182
22,11732,3673,3046,1549
23,10289,4095,3689,1927
24,8784,4475,4280,2461
25,7352,4630,5020,2998
26,6000,4653,5666,3681
27,4756,4596,6229,4419
28,3677,4398,6637,5288
29,2823,4048,6978,6151
30,2131,3587,7215,7067
31,1627,3082,7311,7980
32,1233,2661,7149,8957
33,977,2195,6932,9896
34,777,1816,6567,10840
35,633,1483,6147,11737
36,543,1188,5752,12517
37,455,960,5347,13238
38,406,787,4893,13914
39,382,612,4478,14528
40,360,495,4071,15074
41,349,403,3718,15530
42,357,312,3349,15982
43,355,269,2993,16383
44,383,216,2666,16735
45,429,179,2387,17005
46,448,160,2112,17280
47,511,142,1862,17485
48,540,144,1645,17671
49,564,121,1495,17820
50,594,109,1307,17990
51,638,98,1160,18104
52,685,85,1019,18211
53,716,84,914,18286
54,759,84,824,18333
55,803,81,744,18372
56,858,76,657,18409
57,907,73,573,18447
58,947,76,501,18476
59,989,75,448,18488
60,1029,69,410,18492
61,1081,65,365,18489
62,1129,61,335,18475
63,1161,60,306,18473
64,1217,48,270,18465
65,1279,52,249,18420
66,1322,53,224,18401
67,1373,52,212,18363
68,1419,48,194,18339
69,1472,35,181,18312
70,1520,37,158,18285
71,1559,42,141,18258
72,1619,39,135,18207
73,1675,32,130,18163
74,1739,28,110,18123
75,1796,21,98,18085
76,1853,22,85,18040
77,1902,25,75,17998
78,1963,21,72,17944
79,2025,22,61,17892
80,2081,20,57,17842
81,2130,19,57,17794
82,2176,21,55,17748
83,2232,18,53,17697
84,2291,18,49,17642
85,2351,14,48,17587
86,2413,11,40,17536
87,2472,16,35,17477
88,2533,15,30,17422
89,2599,17,26,17358
90,2657,18,24,17301
91,2703,17,25,17255
92,2750,10,29,17211
93,2794,9,25,17172
94,2847,11,19,17123
95,2899,11,17,17073
96,2946,9,18,17027
97,2994,8,17,16981
98,3056,7,19,16918
99,3110,9,20,16861
100,3161,10,15,16814
101,3204,10,17,16769
102,3250,6,21,16723
103,3306,6,22,16666
104,3348,7,21,16624
105,3396,10,19,16575
106,3445,8,20,16527
107,3484,9,20,16487
108,3518,6,22,16454
109,3566,10,21,16403
110,3609,13,20,16358
111,3650,12,19,16319
112,3691,10,19,16280
113,3742,7,20,16231
114,3801,6,22,16171
115,3849,7,18,16126
116,3906,4,19,16071
117,3949,5,15,16031
118,3999,5,15,15981
119,4041,8,13,15938
120,4090,8,16,15886
121,4126,11,15,15848
122,4185,8,15,15792
123,4224,10,15,15751
124,4268,8,16,15708
125,4300,8,16,15676
126,4354,11,15,15620
127,4400,9,17,15574
128,4423,14,20,15543
129,4463,11,20,15506
130,4502,12,22,15464
131,4536,11,25,15428
132,4578,9,27,15386
133,4623,15,23,15339
134,4660,13,25,15302
135,4693,10,31,15266
136,4732,12,29,15227
137,4765,15,26,15194
138,4807,16,28,15149
139,4840,23,29,15108
140,4870,26,31,15073
141,4916,29,31,15024
142,4953,27,34,14986
143,4989,27,28,14956
144,5016,29,32,14923
145,5055,24,33,14888
146,5089,23,39,14849
147,5122,25,40,14813
148,5160,27,43,14770
149,5191,31,41,14737
150,5214,37,44,14705
151,5249,34,48,14669
152,5277,41,52,14630
153,5298,42,65,14595
154,5332,43,67,14558
155,5354,46,70,14530
156,5376,48,76,14500
157,5401,47,81,14471
