Day,S,E,I,R
0,19966,14,17,3
1,19951,24,19,6
2,19937,31,21,11
3,19926,36,26,12
4,19902,47,37,14
5,19875,60,45,20
6,19829,90,55,26
7,19782,111,74,33
8,19731,133,92,44
9,19649,177,119,55
10,19567,197,172,64
11,19431,276,204,89
12,19253,367,272,108
13,19009,500,350,141
14,18730,652,434,184
15,18387,805,554,254
16,17938,1058,663,341
17,17438,1275,872,415
18,16763,1599,1095,543
19,15933,1964,1414,689
20,14970,2366,1800,864
21,13831,2856,2242,1071
22,12505,3410,2713,1372
23,11107,3867,3297,1729
24,9641,4195,4014,2150
25,8079,4580,4651,2690
26,6668,4755,5280,3297
27,5366,4749,5890,3995
28,4191,4611,6414,4784
29,3231,4216,6922,5631
30,2432,3879,7147,6542
31,1851,3406,7240,7503
32,1432,2856,7219,8493
33,1090,2432,7030,9448
34,874,1932,6763,10431
35,702,1623,6373,11302
36,563,1308,6034,12095
37,492,1045,5587,12876
38,425,845,5163,13567
39,411,638,4737,14214
40,395,528,4303,14774
41,407,435,3854,15304
42,404,357,3434,15805
43,401,301,3089,16209
44,425,236,2753,16586
45,443,196,2476,16885
46,460,175,2163,17202
47,491,149,1906,17454
48,521,140,1702,17637
49,559,136,1494,17811
50,607,119,1342,17932
51,635,119,1179,18067
52,681,97,1043,18179
53,720,87,917,18276
54,757,92,809,18342
55,788,102,731,18379
56,834,93,659,18414
57,874,86,605,18435
58,921,79,557,18443
59,969,75,491,18465
60,1032,72,441,18455
61,1068,60,396,18476
62,1119,61,357,18463
63,1167,55,322,18456
64,1220,56,279,18445
65,1283,45,253,18419
66,1330,47,231,18392
67,1376,46,218,18360
68,1419,40,198,18343
69,1478,39,183,18300
70,1555,30,171,18244
71,1599,33,155,18213
72,1649,34,142,18175
73,1706,30,132,18132
74,1741,29,121,18109
75,1793,32,115,18060
76,1858,25,101,18016
77,1931,26,96,17947
78,1984,25,83,17908
79,2038,22,75,17865
80,2078,21,69,17832
81,2136,20,62,17782
82,2192,24,52,17732
83,2251,23,56,17670
84,2302,20,57,17621
85,2349,16,59,17576
86,2400,11,56,17533
87,2449,14,54,17483
88,2501,15,52,17432
89,2552,15,53,17380
90,2590,17,47,17346
91,2638,16,44,17302
92,2700,16,41,17243
93,2745,16,30,17209
94,2798,14,26,17162
95,2849,14,23,17114
96,2897,15,22,17066
97,2947,8,26,17019
98,3006,9,24,16961
99,3061,10,26,16903
100,3108,13,21,16858
101,3164,9,25,16802
102,3219,8,27,16746
103,3262,10,24,16704
104,3311,10,22,16657
105,3367,12,20,16601
106,3418,13,14,16555
107,3465,13,16,16506
108,3509,15,18,16458
109,3583,15,18,16384
110,3625,15,20,16340
111,3672,12,19,16297
