Day,S,E,I,R
0,19965,15,18,2
1,19950,27,19,4
2,19935,36,23,6
3,19914,46,28,12
4,19889,58,39,14
5,19858,70,48,24
6,19810,93,68,29
7,19751,126,85,38
8,19677,170,106,47
9,19574,215,150,61
10,19463,267,183,87
11,19309,337,241,113
12,19094,461,300,145
13,18821,600,395,184
14,18476,775,518,231
15,18078,966,671,285
16,17586,1189,840,385
17,16930,1533,1045,492
18,16154,1875,1347,624
19,15229,2254,1710,807
20,14114,2728,2129,1029
21,12929,3167,2582,1322
22,11551,3686,3108,1655
23,10046,4128,3756,2070
24,8551,4509,4397,2543
25,7114,4692,5035,3159
26,5790,4700,5701,3809
27,4582,4597,6283,4538
28,3552,4274,6823,5351
29,2706,3888,7165,6241
30,2028,3488,7260,7224
31,1564,2993,7243,8200
32,1200,2552,7087,9161
33,913,2101,6912,10074
34,730,1718,6561,10991
35,613,1381,6209,11797
36,533,1094,5772,12601
37,474,875,5256,13395
38,436,725,4766,14073
39,405,588,4315,14692
40,389,481,3914,15216
41,387,385,3541,15687
42,403,313,3188,16096
43,413,275,2860,16452
44,438,242,2548,16772
45,465,214,2273,17048
46,491,172,2052,17285
47,505,152,1831,17512
48,541,136,1619,17704
49,591,124,1443,17842
50,617,116,1271,17996
51,651,121,1106,18122
52,713,109,964,18214
53,750,95,863,18292
54,786,89,771,18354
55,831,89,670,18410
56,880,84,594,18442
57,923,65,555,18457
58,961,64,501,18474
59,1007,61,453,18479
60,1059,67,398,18476
61,1110,64,371,18455
62,1156,58,331,18455
63,1204,48,302,18446
64,1252,53,271,18424
65,1315,49,220,18416
66,1376,31,215,18378
67,1428,35,184,18353
68,1496,39,164,18301
69,1539,41,153,18267
70,1615,39,145,18201
71,1670,38,129,18163
72,1726,33,124,18117
73,1774,40,113,18073
74,1838,32,106,18024
75,1888,32,95,17985
76,1951,32,92,17925
77,2010,33,95,17862
78,2060,36,91,17813
79,2101,33,87,17779
80,2156,32,87,17725
81,2199,34,85,17682
82,2251,29,82,17638
83,2314,24,74,17588
84,2353,25,69,17553
85,2406,25,67,17502
86,2462,28,62,17448
87,2512,27,68,17393
88,2555,25,70,17350
89,2614,25,65,17296
90,2666,24,60,17250
91,2743,20,58,17179
92,2786,19,56,17139
93,2823,18,53,17106
94,2881,17,50,17052
95,2934,21,47,16998
96,2990,20,43,16947
97,3051,21,39,16889
98,3092,16,41,16851
99,3143,20,35,16802
100,3200,18,33,16749
101,3248,20,31,16701
102,3289,17,35,16659
103,3330,18,34,16618
104,3392,18,29,16561
105,3452,16,29,16503
106,3508,14,30,16448
107,3558,15,31,16396
108,3607,15,31,16347
109,3655,15,34,16296
110,3709,13,31,16247
111,3750,11,32,16207
112,3789,9,28,16174
113,3822,10,28,16140
114,3846,13,25,16116
115,3900,13,24,16063
116,3952,10,22,16016
117,3998,11,22,15969
118,4034,10,23,15933
119,4062,12,21,15905
120,4096,12,21,15871
121,4156,12,18,15814
122,4201,11,20,15768
123,4239,8,25,15728
124,4288,7,23,15682
125,4334,7,24,15635
126,4373,8,16,15603
127,4421,9,15,15555
128,4461,5,17,15517
129,4499,3,17,15481
130,4550,4,15,15431
131,4588,6,13,15393
132,4625,5,15,15355
133,4679,7,15,15299
134,4716,10,14,15260
135,4760,8,14,15218
136,4802,10,16,15172
137,4850,9,22,15119
138,4891,11,23,15075
139,4941,10,23,15026
140,4967,8,24,15001
141,5013,10,24,14953
142,5052,8,25,14915
143,5094,10,23,14873
144,5129,11,25,14835
145,5155,11,23,14811
146,5192,13,22,14773
147,5223,18,19,14740
148,5259,13,26,14702
149,5285,12,29,14674
150,5327,18,30,14625
151,5373,16,31,14580
152,5415,20,27,14538
153,5452,26,29,14493
154,5503,26,24,14447
155,5536,30,27,14407
156,5576,25,34,14365
157,5610,25,43,14322
158,5643,26,42,14289
159,5671,33,45,14251
160,5691,34,53,14222
161,5722,35,58,14185
162,5765,36,60,14139
163,5786,42,61,14111
164,5819,44,69,14068
165,5840,58,74,14028
166,5859,69,74,13998
167,5880,70,87,13963
168,5920,71,90,13919
169,5942,77,94,13887
170,5950,79,101,13870
171,5968,81,111,13840
172,5975,89,131,13805
173,5984,93,143,13780
174,5979,111,139,13771
175,5989,114,143,13754
176,6003,106,164,13727
177,6005,102,186,13707
178,6012,111,190,13687
179,6018,121,187,13674
180,6024,130,187,13659
181,6014,155,195,13636
182,6009,164,205,13622
183,5991,175,233,13601
184,5981,186,248,13585
185,5947,188,281,13584
186,5908,199,304,13589
187,5884,213,306,13597
188,5852,214,322,13612
189,5814,233,343,13610
190,5791,237,369,13603
191,5751,252,384,13613
192,5683,279,400,13638
193,5651,267,423,13659
194,5604,287,436,13673
195,5550,300,467,13683
196,5474,342,497,13687
197,5382,359,558,13701
198,5302,386,552,13760
199,5226,398,598,13778
200,5163,400,628,13809
201,5084,421,648,13847
202,5013,420,703,13864
203,4926,440,736,13898
204,4837,463,773,13927
205,4729,491,793,13987
206,4638,477,844,14041
207,4551,479,858,14112
208,4442,505,860,14193
209,4350,475,894,14281
210,4251,496,913,14340
211,4156,499,929,14416
212,4050,506,948,14496
213,3939,521,973,14567
214,3847,509,1001,14643
215,3767,512,995,14726
216,3679,517,999,14805
217,3607,506,1041,14846
218,3501,531,1043,14925
219,3416,512,1071,15001
220,3336,523,1058,15083
221,3256,515,1059,15170
222,3181,501,1041,15277
223,3118,497,1037,15348
224,3053,471,1032,15444
225,2994,456,1039,15511
226,2947,464,976,15613
227,2923,426,966,15685
228,2883,418,940,15759
229,2844,392,935,15829
230,2804,393,890,15913
231,2801,338,892,15969
232,2781,323,874,16022
233,2751,343,843,16063
234,2741,346,817,16096
235,2748,328,804,16120
236,2739,320,792,16149
237,2726,318,778,16178
238,2713,306,743,16238
239,2690,306,729,16275
240,2713,281,706,16300
241,2723,281,694,16302
242,2726,278,662,16334
243,2728,269,668,16335
244,2750,256,651,16343
245,2761,261,623,16355
246,2775,243,623,16359
247,2786,243,596,16375
248,2801,233,592,16374
249,2810,221,592,16377
250,2843,217,576,16364
251,2855,229,555,16361
252,2858,220,545,16377
253,2888,220,514,16378
254,2922,202,514,16362
255,2951,209,489,16351
256,2977,195,484,16344
257,3019,202,460,16319
258,3046,203,456,16295
259,3075,193,447,16285
260,3120,193,435,16252
261,3147,191,415,16247
262,3171,193,422,16214
263,3207,198,427,16168
264,3228,201,412,16159
265,3286,190,404,16120
266,3313,195,403,16089
267,3363,199,396,16042
268,3418,190,405,15987
269,3477,180,397,15946
270,3508,179,397,15916
271,3549,182,383,15886
272,3568,178,390,15864
273,3619,170,379,15832
274,3646,159,377,15818
275,3675,152,367,15806
276,3722,159,354,15765
277,3770,160,349,15721
278,3797,182,332,15689
279,3847,177,330,15646
280,3880,169,332,15619
281,3903,152,341,15604
282,3947,143,356,15554
283,3970,167,339,15524
284,4013,161,351,15475
285,4042,175,344,15439
286,4100,164,353,15383
287,4122,163,357,15358
288,4140,186,350,15324
289,4170,187,353,15290
290,4203,184,355,15258
291,4257,187,355,15201
292,4276,197,350,15177
293,4309,183,357,15151
294,4354,191,353,15102
295,4405,188,354,15053
296,4450,181,364,15005
297,4485,178,371,14966
298,4517,192,373,14918
299,4519,207,381,14893
300,4529,213,389,14869
301,4528,237,390,14845
302,4560,225,405,14810
303,4599,221,409,14771
304,4606,220,425,14749
305,4641,229,418,14712
306,4638,237,424,14701
307,4644,241,435,14680
308,4660,237,458,14645
309,4663,250,459,14628
310,4667,257,461,14615
311,4648,272,475,14605
312,4634,304,480,14582
313,4643,294,493,14570
314,4640,283,507,14570
315,4630,303,526,14541
316,4654,295,542,14509
317,4638,304,561,14497
318,4620,314,567,14499
319,4621,312,578,14489
320,4610,321,596,14473
321,4584,327,620,14469
322,4557,342,631,14470
323,4521,366,630,14483
324,4479,379,664,14478
325,4399,417,684,14500
326,4355,425,712,14508
327,4348,388,729,14535
328,4319,393,759,14529
329,4279,432,739,14550
330,4246,440,747,14567
331,4189,437,788,14586
332,4153,429,805,14613
333,4138,405,845,14612
334,4077,454,843,14626
335,4017,465,869,14649
336,3993,478,863,14666
337,3925,501,871,14703
338,3894,473,903,14730
339,3858,471,897,14774
340,3804,475,911,14810
