Day,S,E,I,R
0,19966,14,12,8
1,19954,22,14,10
2,19943,28,18,11
3,19930,34,23,13
4,19912,46,29,13
5,19881,59,44,16
6,19855,76,47,22
7,19814,104,52,30
8,19764,125,77,34
9,19699,156,103,42
10,19608,202,137,53
11,19479,272,176,73
12,19338,348,223,91
13,19147,442,293,118
14,18877,586,379,158
15,18559,753,478,210
16,18158,934,649,259
17,17654,1179,826,341
18,16995,1489,1075,441
19,16143,1936,1340,581
20,15255,2270,1726,749
21,14160,2697,2162,981
22,12931,3158,2645,1266
23,11557,3615,3196,1632
24,10089,4060,3774,2077
25,8541,4461,4453,2545
26,7066,4671,5112,3151
27,5718,4727,5778,3777
28,4495,4580,6395,4530
29,3518,4279,6804,5399
30,2709,3835,7132,6324
31,2098,3383,7324,7195
32,1599,2984,7274,8143
33,1235,2493,7188,9084
34,956,2113,6932,9999
35,781,1724,6608,10887
36,641,1415,6256,11688
37,546,1152,5824,12478
38,478,907,5406,13209
39,433,739,4952,13876
40,423,561,4493,14523
41,416,443,4058,15083
42,394,391,3659,15556
43,392,328,3263,16017
44,411,267,2869,16453
45,452,220,2534,16794
46,474,192,2241,17093
47,497,172,1999,17332
48,530,159,1784,17527
49,555,146,1592,17707
50,600,133,1400,17867
51,630,121,1252,17997
52,664,109,1139,18088
53,716,104,1002,18178
54,746,92,896,18266
55,806,90,805,18299
56,845,84,726,18345
57,889,77,650,18384
58,929,82,580,18409
59,961,80,514,18445
60,1012,77,462,18449
61,1073,70,410,18447
62,1112,58,377,18453
63,1148,57,341,18454
64,1190,54,309,18447
65,1254,53,262,18431
66,1325,52,234,18389
67,1371,43,218,18368
68,1434,39,199,18328
69,1504,28,192,18276
70,1560,33,170,18237
71,1622,35,151,18192
72,1679,33,139,18149
73,1745,28,140,18087
74,1781,36,133,18050
75,1831,38,117,18014
76,1882,39,105,17974
77,1926,35,105,17934
78,1983,37,99,17881
79,2042,33,96,17829
80,2087,34,91,17788
81,2137,24,90,17749
82,2193,20,81,17706
83,2264,16,77,17643
84,2324,17,79,17580
85,2371,19,71,17539
86,2429,19,67,17485
87,2481,17,58,17444
88,2530,23,49,17398
89,2584,22,45,17349
90,2649,16,47,17288
91,2694,17,42,17247
92,2735,15,46,17204
93,2788,11,43,17158
94,2819,15,40,17126
95,2860,11,39,17090
96,2920,7,40,17033
97,2976,6,36,16982
98,3024,9,33,16934
99,3067,9,33,16891
100,3118,10,34,16838
101,3155,9,37,16799
102,3211,13,36,16740
103,3263,12,32,16693
104,3304,13,29,16654
105,3352,11,29,16608
106,3404,6,29,16561
107,3458,5,28,16509
108,3492,7,27,16474
109,3539,6,29,16426
110,3594,8,31,16367
111,3630,8,29,16333
