Day,S,E,I,R
0,19964,16,17,3
1,19946,26,24,4
2,19921,42,29,8
3,19901,55,33,11
4,19870,64,52,14
5,19825,90,61,24
6,19767,127,74,32
7,19705,156,96,43
8,19627,197,118,58
9,19525,245,154,76
10,19391,306,203,100
11,19204,403,265,128
12,18959,542,339,160
13,18661,675,464,200
14,18246,891,603,260
15,17748,1139,788,325
16,17122,1449,1003,426
17,16375,1795,1277,553
18,15455,2227,1598,720
19,14397,2666,2016,921
20,13198,3086,2521,1195
21,11815,3604,3059,1522
22,10369,4040,3617,1974
23,8792,4502,4279,2427
24,7298,4732,4962,3008
25,5960,4754,5614,3672
26,4710,4641,6228,4421
27,3678,4361,6746,5215
28,2833,3985,7059,6123
29,2168,3541,7213,7078
30,1673,3075,7248,8004
31,1281,2645,7152,8922
32,1011,2208,6957,9824
33,782,1879,6628,10711
34,639,1521,6267,11573
35,546,1213,5866,12375
36,470,965,5470,13095
37,426,758,5013,13803
38,385,646,4497,14472
39,368,529,4106,14997
40,366,426,3712,15496
41,373,343,3332,15952
42,382,295,2967,16356
43,387,252,2625,16736
44,406,213,2330,17051
45,432,174,2094,17300
46,452,151,1887,17510
47,485,136,1658,17721
48,528,116,1473,17883
49,567,108,1306,18019
50,597,103,1161,18139
51,647,88,1044,18221
52,689,75,909,18327
53,729,73,794,18404
54,774,81,682,18463
55,849,61,613,18477
56,912,54,542,18492
57,957,56,465,18522
58,1012,54,405,18529
59,1061,54,364,18521
60,1121,49,330,18500
61,1185,44,292,18479
62,1249,45,260,18446
63,1298,49,227,18426
64,1356,46,205,18393
65,1418,44,184,18354
66,1464,33,182,18321
67,1528,30,161,18281
68,1582,28,150,18240
69,1642,30,131,18197
70,1673,29,107,18191
71,1724,24,98,18154
72,1780,23,85,18112
73,1843,21,76,18060
74,1895,23,67,18015
75,1952,19,57,17972
76,2005,19,53,17923
77,2065,13,57,17865
78,2124,12,56,17808
79,2169,12,53,17766
80,2221,11,48,17720
81,2266,15,48,17671
82,2322,16,44,17618
83,2372,13,46,17569
84,2432,14,43,17511
85,2485,12,42,17461
86,2533,18,38,17411
87,2581,14,42,17363
88,2627,12,41,17320
89,2683,10,38,17269
90,2745,9,39,17207
91,2800,9,39,17152
92,2839,10,37,17114
93,2886,12,34,17068
94,2930,9,35,17026
95,2977,9,34,16980
96,3031,11,34,16924
97,3082,10,28,16880
98,3124,9,26,16841
99,3164,12,23,16801
100,3219,12,18,16751
101,3266,9,21,16704
102,3310,10,14,16666
103,3360,10,12,16618
104,3406,8,15,16571
105,3451,7,13,16529
106,3518,6,11,16465
107,3548,6,9,16437
108,3597,7,8,16388
109,3648,4,10,16338
110,3678,5,10,16307
111,3727,5,7,16261
112,3777,4,9,16210
113,3828,4,9,16159
114,3883,4,10,16103
115,3927,5,9,16059
