Day,S,E,I,R
0,19968,12,17,3
1,19957,19,18,6
2,19937,33,22,8
3,19920,43,28,9
4,19890,59,40,11
5,19847,84,53,16
6,19791,118,68,23
7,19742,139,82,37
8,19663,179,112,46
9,19570,223,145,62
10,19458,268,192,82
11,19299,347,242,112
12,19105,450,310,135
13,18839,581,407,173
14,18468,778,531,223
15,17998,1020,686,296
16,17398,1306,906,390
17,16732,1616,1123,529
18,15926,1939,1457,678
19,14964,2372,1776,888
20,13880,2778,2215,1127
21,12627,3236,2733,1404
22,11294,3688,3240,1778
23,9894,4086,3826,2194
24,8382,4424,4508,2686
25,6984,4593,5081,3342
26,5703,4560,5754,3983
27,4528,4453,6282,4737
28,3533,4207,6717,5543
29,2733,3846,6945,6476
30,2111,3356,7129,7404
31,1621,2940,7089,8350
32,1285,2449,6978,9288
33,1000,2071,6715,10214
34,794,1707,6400,11099
35,628,1414,6035,11923
36,545,1179,5605,12671
37,479,948,5161,13412
38,427,760,4801,14012
39,403,593,4365,14639
40,393,483,3925,15199
41,395,394,3547,15664
42,405,310,3202,16083
43,408,265,2811,16516
44,424,226,2517,16833
45,448,188,2261,17103
46,475,168,2041,17316
47,496,162,1812,17530
48,523,152,1599,17726
49,545,140,1416,17899
50,572,127,1252,18049
51,602,110,1082,18206
52,665,88,982,18265
53,703,83,897,18317
54,736,94,789,18381
55,772,90,710,18428
56,834,73,626,18467
57,882,64,551,18503
58,927,58,500,18515
59,987,62,440,18511
60,1039,61,397,18503
61,1106,59,372,18463
62,1170,49,343,18438
63,1226,54,306,18414
64,1274,59,293,18374
65,1339,57,275,18329
66,1384,55,250,18311
67,1446,53,230,18271
68,1493,46,214,18247
69,1536,50,185,18229
70,1584,45,176,18195
71,1637,45,155,18163
72,1687,41,142,18130
73,1727,35,134,18104
74,1793,25,123,18059
75,1845,32,109,18014
76,1898,24,99,17979
77,1952,29,85,17934
78,2009,29,83,17879
79,2049,29,77,17845
80,2107,27,77,17789
81,2160,27,73,17740
82,2220,27,71,17682
83,2280,25,68,17627
84,2333,21,65,17581
85,2384,29,55,17532
86,2443,20,63,17474
87,2511,17,60,17412
88,2557,16,55,17372
89,2600,16,49,17335
90,2646,12,46,17296
91,2692,16,46,17246
92,2733,17,43,17207
93,2788,21,38,17153
94,2830,19,37,17114
95,2879,16,39,17066
96,2928,19,32,17021
97,2979,17,29,16975
98,3047,12,34,16907
99,3108,11,34,16847
100,3147,15,32,16806
101,3212,12,33,16743
102,3259,12,31,16698
103,3308,14,23,16655
104,3373,10,26,16591
105,3434,11,24,16531
106,3485,8,25,16482
107,3537,7,23,16433
108,3582,6,20,16392
109,3616,7,20,16357
110,3667,6,14,16313
111,3728,6,14,16252
112,3778,9,10,16203
113,3839,8,11,16142
114,3882,10,10,16098
115,3933,9,15,16043
116,3967,12,12,16009
117,4018,10,12,15960
118,4069,9,15,15907
119,4114,9,16,15861
120,4173,12,12,15803
121,4215,11,14,15760
122,4250,10,16,15724
123,4295,7,17,15681
124,4327,7,18,15648
125,4367,10,16,15607
126,4402,11,17,15570
127,4444,10,18,15528
128,4487,10,18,15485
129,4530,11,20,15439
130,4577,10,25,15388
131,4616,8,26,15350
132,4669,8,27,15296
133,4710,8,24,15258
134,4755,9,23,15213
135,4784,13,21,15182
136,4824,13,23,15140
137,4852,17,23,15108
138,4879,16,24,15081
139,4907,20,25,15048
140,4943,19,28,15010
141,5005,16,30,14949
142,5058,17,32,14893
143,5096,18,31,14855
144,5128,22,29,14821
145,5179,14,34,14773
146,5206,19,35,14740
147,5239,18,37,14706
148,5267,17,41,14675
149,5298,19,40,14643
150,5331,25,38,14606
151,5373,27,41,14559
152,5400,34,40,14526
153,5427,28,44,14501
154,5459,29,46,14466
155,5492,26,47,14435
156,5521,30,48,14401
157,5545,30,52,14373
158,5589,28,55,14328
159,5619,29,58,14294
160,5656,28,53,14263
161,5681,35,55,14229
162,5716,32,59,14193
163,5758,32,58,14152
164,5781,37,60,14122
165,5806,41,66,14087
166,5830,44,68,14058
167,5846,49,63,14042
168,5868,42,74,14016
169,5906,44,74,13976
170,5920,54,77,13949
171,5931,57,82,13930
172,5952,58,81,13909
173,5972,58,84,13886
174,5981,73,93,13853
175,6010,78,91,13821
176,6034,76,93,13797
177,6054,77,99,13770
178,6064,77,105,13754
179,6067,86,111,13736
180,6074,78,128,13720
181,6081,84,138,13697
182,6079,97,136,13688
183,6098,84,156,13662
184,6090,103,149,13658
185,6077,125,151,13647
186,6070,129,172,13629
187,6061,136,176,13627
188,6072,152,174,13602
189,6063,157,192,13588
190,6051,162,220,13567
191,6055,152,237,13556
192,6031,173,248,13548
193,6004,189,260,13547
194,5989,203,270,13538
195,5979,202,285,13534
196,5938,221,301,13540
197,5901,215,329,13555
198,5857,248,344,13551
199,5826,267,367,13540
200,5779,282,386,13553
201,5723,302,407,13568
202,5678,317,427,13578
203,5642,319,453,13586
204,5586,340,477,13597
205,5540,351,506,13603
206,5464,363,540,13633
207,5361,406,578,13655
208,5290,400,629,13681
209,5206,412,649,13733
210,5125,423,669,13783
211,5035,440,688,13837
212,4946,441,718,13895
213,4846,452,725,13977
214,4753,462,745,14040
215,4669,457,795,14079
216,4586,454,836,14124
217,4492,469,843,14196
218,4402,494,843,14261
219,4332,493,864,14311
220,4249,492,894,14365
221,4171,493,889,14447
222,4065,538,892,14505
223,3995,512,915,14578
224,3912,501,941,14646
225,3834,495,957,14714
226,3772,481,952,14795
