Day,S,E,I,R
0,19963,17,19,1
1,19948,26,22,4
2,19933,35,24,8
3,19920,38,30,12
4,19897,53,35,15
5,19870,68,39,23
6,19835,81,53,31
7,19788,104,74,34
8,19727,134,94,45
9,19637,187,122,54
10,19520,248,164,68
11,19394,307,211,88
12,19203,397,288,112
13,18941,548,361,150
14,18669,646,482,203
15,18285,838,616,261
16,17792,1105,761,342
17,17200,1392,962,446
18,16506,1717,1195,582
19,15677,2033,1565,725
20,14669,2426,1964,941
21,13468,2959,2372,1201
22,12155,3412,2922,1511
23,10737,3884,3502,1877
24,9222,4323,4060,2395
25,7754,4535,4821,2890
26,6351,4628,5480,3541
27,5048,4660,6016,4276
28,3946,4451,6505,5098
29,3020,4117,6926,5937
30,2277,3739,7132,6852
31,1751,3157,7345,7747
32,1333,2734,7217,8716
33,1023,2285,7056,9636
34,799,1913,6693,10595
35,644,1557,6360,11439
36,543,1241,5981,12235
37,484,991,5581,12944
38,421,788,5142,13649
39,394,634,4670,14302
40,369,501,4287,14843
41,370,394,3892,15344
42,381,327,3500,15792
43,389,291,3134,16186
44,405,241,2810,16544
45,424,221,2489,16866
46,446,187,2210,17157
47,477,164,1942,17417
48,515,149,1726,17610
49,556,130,1561,17753
50,593,131,1366,17910
51,634,117,1160,18089
52,667,109,1049,18175
53,694,103,944,18259
54,738,85,850,18327
55,791,86,757,18366
56,837,72,689,18402
57,879,74,611,18436
58,931,69,541,18459
59,979,57,481,18483
60,1030,64,432,18474
61,1080,60,380,18480
62,1120,56,343,18481
63,1160,62,307,18471
64,1222,55,285,18438
65,1280,49,253,18418
66,1336,50,230,18384
67,1387,43,209,18361
68,1444,45,199,18312
69,1503,46,176,18275
70,1549,44,165,18242
71,1604,42,153,18201
72,1657,28,156,18159
73,1704,26,137,18133
74,1764,26,126,18084
75,1820,22,111,18047
76,1882,20,108,17990
77,1946,20,101,17933
78,2009,19,94,17878
79,2064,26,89,17821
80,2113,31,78,17778
81,2162,30,79,17729
82,2214,30,76,17680
83,2272,33,73,17622
84,2312,34,75,17579
85,2358,26,71,17545
86,2412,26,71,17491
87,2461,27,65,17447
88,2510,25,68,17397
89,2555,24,61,17360
90,2605,15,67,17313
91,2661,12,64,17263
92,2717,16,56,17211
93,2766,17,57,17160
94,2819,21,56,17104
95,2868,20,57,17055
96,2921,21,54,17004
97,2971,22,50,16957
98,3026,22,53,16899
99,3071,20,55,16854
100,3138,20,56,16786
101,3190,17,51,16742
102,3256,18,41,16685
103,3296,12,47,16645
104,3328,16,44,16612
105,3368,17,37,16578
106,3429,20,34,16517
107,3484,19,30,16467
108,3525,14,29,16432
109,3573,16,28,16383
110,3613,11,35,16341
111,3658,12,30,16300
112,3704,15,24,16257
113,3753,13,26,16208
114,3810,10,30,16150
115,3848,11,33,16108
116,3891,12,32,16065
117,3938,11,29,16022
118,3985,13,27,15975
119,4027,21,25,15927
120,4073,22,25,15880
121,4123,20,25,15832
122,4175,16,29,15780
123,4229,19,27,15725
124,4269,19,31,15681
125,4310,20,32,15638
126,4367,17,31,15585
127,4415,16,31,15538
128,4463,16,29,15492
129,4521,12,30,15437
130,4561,14,23,15402
131,4600,11,26,15363
132,4629,15,26,15330
133,4679,15,25,15281
134,4722,16,25,15237
135,4762,19,26,15193
136,4806,18,25,15151
137,4847,12,29,15112
138,4885,21,29,15065
139,4924,20,28,15028
140,4964,16,32,14988
141,4997,14,34,14955
142,5026,19,31,14924
143,5064,22,30,14884
144,5111,21,31,14837
145,5153,23,32,14792
146,5202,19,33,14746
147,5233,20,31,14716
148,5274,18,34,14674
149,5309,21,33,14637
150,5354,20,38,14588
151,5393,21,37,14549
152,5413,26,43,14518
153,5450,25,41,14484
154,5485,26,42,14447
155,5531,19,44,14406
156,5558,20,44,14378
157,5592,22,42,14344
158,5606,26,39,14329
159,5629,31,42,14298
