Day,S,E,I,R
0,19966,14,20,0
1,19955,24,21,0
2,19938,35,25,2
3,19908,53,32,7
4,19885,62,42,11
5,19837,90,59,14
6,19784,111,80,25
7,19720,153,90,37
8,19645,189,118,48
9,19534,240,164,62
10,19391,300,231,78
11,19210,407,281,102
12,18951,547,374,128
13,18615,713,501,171
14,18162,949,655,234
15,17635,1186,858,321
16,16955,1547,1064,434
17,16142,1915,1381,562
18,15138,2391,1742,729
19,14003,2829,2224,944
20,12716,3369,2694,1221
21,11343,3769,3290,1598
22,9842,4207,3948,2003
23,8307,4535,4651,2507
24,6833,4795,5273,3099
25,5514,4709,5930,3847
26,4352,4576,6414,4658
27,3404,4181,6845,5570
28,2636,3745,7161,6458
29,2006,3312,7208,7474
30,1530,2880,7157,8433
31,1173,2456,6975,9396
32,924,2022,6774,10280
33,732,1626,6472,11170
34,617,1280,6097,12006
35,523,1046,5634,12797
36,480,843,5160,13517
37,442,696,4706,14156
38,434,560,4237,14769
39,437,462,3858,15243
40,422,386,3490,15702
41,419,327,3151,16103
42,426,269,2839,16466
43,433,248,2511,16808
44,458,228,2230,17084
45,471,208,1991,17330
46,509,163,1789,17539
47,539,145,1569,17747
48,606,128,1389,17877
49,610,140,1243,18007
50,654,124,1117,18105
51,692,110,971,18227
52,742,94,883,18281
53,776,95,789,18340
54,839,80,707,18374
55,880,76,633,18411
56,917,84,555,18444
57,953,73,515,18459
58,998,79,451,18472
59,1048,69,421,18462
60,1102,66,365,18467
61,1147,66,322,18465
62,1195,62,283,18460
63,1243,63,251,18443
64,1294,55,239,18412
65,1345,53,229,18373
66,1397,45,213,18345
67,1463,49,190,18298
68,1534,44,171,18251
69,1592,30,163,18215
70,1647,32,144,18177
71,1721,28,121,18130
72,1771,27,111,18091
73,1833,27,102,18038
74,1900,26,93,17981
75,1971,21,83,17925
76,2012,26,74,17888
77,2067,26,65,17842
78,2121,23,61,17795
79,2165,24,60,17751
80,2216,27,59,17698
81,2286,22,60,17632
82,2362,15,63,17560
83,2408,19,56,17517
84,2462,20,55,17463
85,2514,17,55,17414
86,2560,17,54,17369
87,2599,22,48,17331
88,2640,23,48,17289
89,2692,17,51,17240
90,2742,15,46,17197
91,2794,10,46,17150
92,2860,9,42,17089
93,2912,11,36,17041
94,2964,8,38,16990
95,3006,10,32,16952
96,3053,15,34,16898
97,3106,12,38,16844
98,3168,10,36,16786
99,3221,10,33,16736
100,3269,14,27,16690
101,3327,17,27,16629
102,3366,16,32,16586
103,3423,14,31,16532
104,3478,14,36,16472
105,3529,17,39,16415
106,3567,20,36,16377
107,3603,19,36,16342
108,3647,24,35,16294
109,3690,26,36,16248
110,3740,25,42,16193
111,3788,22,43,16147
112,3842,22,43,16093
113,3875,23,48,16054
114,3924,21,50,16005
115,3959,24,50,15967
116,4005,28,47,15920
117,4055,29,44,15872
118,4108,25,44,15823
119,4151,20,50,15779
120,4171,28,50,15751
121,4198,28,51,15723
122,4231,23,51,15695
123,4279,25,49,15647
124,4307,31,53,15609
125,4340,36,55,15569
126,4379,34,54,15533
127,4433,30,56,15481
128,4472,31,57,15440
129,4512,36,56,15396
130,4549,37,58,15356
131,4584,36,62,15318
132,4604,47,57,15292
133,4632,45,58,15265
134,4660,43,59,15238
135,4697,42,63,15198
136,4726,43,71,15160
137,4755,41,80,15124
138,4782,38,80,15100
139,4811,42,77,15070
140,4846,43,85,15026
141,4873,50,76,15001
142,4904,47,70,14979
143,4928,50,68,14954
144,4964,44,71,14921
145,5006,50,70,14874
146,5035,49,77,14839
147,5046,57,72,14825
148,5064,63,79,14794
149,5094,60,88,14758
150,5134,53,97,14716
151,5171,55,101,14673
152,5204,57,98,14641
153,5240,66,90,14604
154,5270,57,103,14570
155,5285,72,106,14537
156,5294,78,119,14509
157,5315,81,118,14486
158,5331,83,123,14463
159,5350,88,124,14438
160,5376,87,130,14407
161,5383,102,129,14386
162,5403,100,134,14363
163,5415,102,144,14339
164,5423,110,151,14316
165,5437,108,157,14298
166,5449,110,169,14272
167,5470,121,172,14237
168,5477,138,183,14202
169,5475,146,198,14181
170,5495,140,211,14154
171,5499,137,226,14138
172,5489,145,237,14129
173,5488,148,247,14117
174,5472,161,251,14116
175,5470,160,265,14105
176,5476,160,271,14093
177,5469,174,267,14090
178,5442,193,285,14080
179,5423,202,303,14072
180,5401,210,299,14090
181,5387,211,336,14066
182,5374,200,345,14081
183,5346,222,357,14075
184,5322,229,363,14086
185,5307,232,371,14090
186,5284,244,382,14090
187,5254,247,403,14096
188,5233,242,425,14100
189,5181,267,460,14092
190,5152,290,459,14099
191,5123,302,475,14100
192,5077,309,483,14131
193,5047,302,507,14144
194,5001,310,544,14145
195,4953,326,550,14171
196,4889,333,577,14201
197,4820,368,592,14220
198,4758,374,618,14250
199,4679,411,624,14286
200,4606,408,675,14311
201,4556,398,697,14349
