Day,S,E,I,R
0,19962,18,17,3
1,19944,27,22,7
2,19921,45,23,11
3,19906,48,35,11
4,19881,63,38,18
5,19844,81,50,25
6,19802,100,63,35
7,19748,126,85,41
8,19670,165,118,47
9,19567,217,156,60
10,19433,270,220,77
11,19252,377,264,107
12,19015,502,341,142
13,18732,639,432,197
14,18385,802,558,255
15,17923,1048,699,330
16,17373,1341,856,430
17,16728,1594,1142,536
18,15934,1950,1444,672
19,14944,2408,1774,874
20,13809,2892,2189,1110
21,12542,3334,2715,1409
22,11154,3765,3334,1747
23,9639,4204,3950,2207
24,8143,4513,4620,2724
25,6711,4698,5245,3346
26,5396,4709,5829,4066
27,4272,4488,6439,4801
28,3271,4208,6871,5650
29,2487,3785,7148,6580
30,1887,3269,7327,7517
31,1454,2799,7297,8450
32,1100,2382,7099,9419
33,861,2017,6815,10307
34,684,1624,6522,11170
35,573,1303,6117,12007
36,506,1037,5684,12773
37,450,835,5273,13442
38,421,633,4831,14115
39,407,499,4368,14726
40,406,399,3957,15238
41,409,334,3551,15706
42,429,275,3154,16142
43,433,248,2778,16541
44,442,204,2478,16876
45,463,183,2230,17124
46,503,155,1969,17373
47,532,140,1722,17606
48,562,118,1526,17794
49,599,104,1363,17934
50,627,105,1209,18059
51,668,101,1062,18169
52,704,105,952,18239
53,751,103,853,18293
54,783,96,758,18363
55,832,89,675,18404
56,869,77,633,18421
57,901,75,551,18473
58,953,71,487,18489
59,997,65,435,18503
60,1051,56,389,18504
61,1099,54,350,18497
62,1159,59,314,18468
63,1214,54,278,18454
64,1253,59,245,18443
65,1301,60,225,18414
66,1364,55,215,18366
67,1413,51,195,18341
68,1466,50,172,18312
69,1519,42,163,18276
70,1578,43,151,18228
71,1634,39,146,18181
72,1689,40,136,18135
73,1748,30,123,18099
74,1793,28,117,18062
75,1855,27,108,18010
76,1916,23,97,17964
77,1970,30,85,17915
78,2032,30,76,17862
79,2087,21,69,17823
80,2130,23,56,17791
81,2188,23,48,17741
82,2243,23,43,17691
83,2297,16,49,17638
84,2342,18,49,17591
85,2402,18,45,17535
86,2461,16,39,17484
87,2510,20,35,17435
88,2564,17,34,17385
89,2624,14,33,17329
90,2684,13,29,17274
91,2725,11,30,17234
92,2787,11,33,17169
93,2841,13,31,17115
94,2898,15,25,17062
95,2952,9,28,17011
96,2996,8,24,16972
97,3046,3,26,16925
98,3105,6,22,16867
99,3167,6,21,16806
100,3212,5,21,16762
101,3254,4,17,16725
102,3293,4,16,16687
103,3336,4,13,16647
104,3371,5,15,16609
105,3410,5,11,16574
106,3466,3,12,16519
107,3501,3,11,16485
108,3549,5,8,16438
109,3585,6,8,16401
110,3637,8,9,16346
111,3689,6,12,16293
112,3744,5,13,16238
113,3788,6,14,16192
114,3821,6,18,16155
115,3868,2,19,16111
116,3905,3,19,16073
117,3960,4,18,16018
118,4013,7,19,15961
119,4056,7,19,15918
120,4103,6,21,15870
121,4150,6,21,15823
122,4202,7,17,15774
123,4247,9,16,15728
124,4274,11,17,15698
125,4319,11,19,15651
126,4340,13,19,15628
127,4381,12,20,15587
128,4443,10,22,15525
129,4488,9,22,15481
130,4518,11,19,15452
131,4548,14,21,15417
132,4590,11,23,15376
133,4629,15,23,15333
134,4667,11,21,15301
135,4709,9,24,15258
136,4747,14,25,15214
137,4783,15,24,15178
138,4828,11,27,15134
139,4859,11,26,15104
140,4908,8,28,15056
141,4945,11,29,15015
142,4963,16,30,14991
143,4991,18,27,14964
144,5038,17,27,14918
145,5070,15,28,14887
146,5112,14,25,14849
147,5163,14,24,14799
148,5200,13,25,14762
149,5236,13,27,14724
150,5264,10,30,14696
151,5286,16,29,14669
152,5325,17,34,14624
153,5349,27,35,14589
154,5371,29,34,14566
155,5402,26,40,14532
156,5437,27,40,14496
157,5461,34,42,14463
158,5507,31,41,14421
159,5545,32,44,14379
160,5583,28,48,14341
161,5609,33,45,14313
162,5636,34,48,14282
163,5654,39,51,14256
164,5669,36,57,14238
165,5704,39,62,14195
166,5734,36,61,14169
167,5768,39,56,14137
168,5799,38,56,14107
169,5831,42,57,14070
170,5860,38,59,14043
171,5889,44,62,14005
172,5910,51,58,13981
173,5925,60,65,13950
174,5961,53,78,13908
175,5973,60,89,13878
176,5986,69,94,13851
177,6000,74,91,13835
178,6032,62,102,13804
179,6036,74,105,13785
180,6047,85,110,13758
181,6066,91,108,13735
182,6077,86,119,13718
183,6074,100,117,13709
184,6102,89,135,13674
185,6120,101,131,13648
186,6128,105,148,13619
187,6130,104,157,13609
188,6136,110,156,13598
189,6146,115,166,13573
190,6159,128,171,13542
191,6150,140,185,13525
192,6148,150,189,13513
193,6132,164,207,13497
194,6129,172,225,13474
195,6120,175,249,13456
196,6096,174,286,13444
197,6079,189,290,13442
198,6042,193,305,13460
199,5993,229,310,13468
200,5963,240,342,13455
201,5934,255,351,13460
202,5882,276,364,13478
203,5824,293,396,13487
204,5773,299,421,13507
205,5722,311,426,13541
206,5656,327,459,13558
207,5577,337,493,13593
208,5502,347,538,13613
209,5427,353,577,13643
210,5347,380,581,13692
211,5256,396,624,13724
212,5175,413,648,13764
213,5090,426,675,13809
214,5035,416,701,13848
215,4945,426,729,13900
216,4837,461,748,13954
217,4735,479,776,14010
218,4620,506,800,14074
219,4545,501,827,14127
220,4449,501,857,14193
221,4346,505,888,14261
222,4258,504,920,14318
223,4141,516,940,14403
224,4041,533,939,14487
225,3960,522,976,14542
226,3866,536,987,14611
227,3790,508,1011,14691
228,3708,506,1020,14766
229,3634,490,1023,14853
230,3554,498,1032,14916
231,3491,492,1019,14998
232,3431,486,1029,15054
233,3367,465,1046,15122
234,3291,459,1034,15216
235,3227,467,1016,15290
236,3172,437,999,15392
237,3136,416,965,15483
238,3070,420,960,15550
239,3005,412,952,15631
240,2991,384,913,15712
241,2941,390,896,15773
242,2911,378,883,15828
243,2904,355,852,15889
244,2891,322,847,15940
245,2880,328,790,16002
246,2872,320,788,16020
247,2866,337,766,16031
248,2847,314,787,16052
249,2821,341,771,16067
250,2827,317,764,16092
251,2806,296,756,16142
252,2802,288,749,16161
253,2780,293,721,16206
254,2781,286,698,16235
255,2800,274,675,16251
256,2798,279,644,16279
257,2809,258,642,16291
258,2811,268,630,16291
259,2836,265,594,16305
260,2850,248,601,16301
261,2865,238,579,16318
262,2887,226,587,16300
263,2911,208,576,16305
264,2915,216,559,16310
265,2933,226,526,16315
266,2949,232,513,16306
267,2973,218,515,16294
268,2990,203,507,16300
269,3028,199,497,16276
270,3039,208,474,16279
271,3071,205,464,16260
272,3113,204,453,16230
273,3135,214,439,16212
274,3199,198,435,16168
275,3226,186,429,16159
276,3253,167,443,16137
277,3299,170,422,16109
278,3326,184,412,16078
279,3360,180,423,16037
280,3389,188,421,16002
281,3426,194,416,15964
282,3434,197,422,15947
283,3457,206,424,15913
284,3482,200,433,15885
285,3504,201,439,15856
286,3505,222,425,15848
287,3531,229,420,15820
288,3543,227,415,15815
289,3569,223,410,15798
290,3591,216,412,15781
291,3615,200,426,15759
292,3635,210,408,15747
293,3663,205,405,15727
294,3680,208,403,15709
295,3706,194,430,15670
296,3740,194,419,15647
297,3768,210,411,15611
298,3808,210,404,15578
299,3823,204,402,15571
300,3856,213,386,15545
301,3877,210,390,15523
302,3889,207,382,15522
303,3929,213,381,15477
304,3938,215,388,15459
305,3969,216,385,15430
306,4017,200,397,15386
307,4020,227,392,15361
308,4041,225,405,15329
309,4063,226,413,15298
310,4088,237,432,15243
311,4099,248,447,15206
312,4119,250,447,15184
313,4122,261,430,15187
314,4134,256,450,15160
315,4151,249,475,15125
316,4171,246,478,15105
317,4191,229,491,15089
318,4195,236,497,15072
319,4222,236,487,15055
320,4244,230,480,15046
321,4236,226,505,15033
322,4239,239,515,15007
323,4232,254,514,15000
324,4236,256,525,14983
325,4233,279,506,14982
326,4260,278,505,14957
327,4248,280,523,14949
328,4241,311,525,14923
329,4229,303,547,14921
330,4229,301,553,14917
331,4236,298,570,14896
332,4224,306,579,14891
333,4214,318,587,14881
334,4222,322,597,14859
335,4220,327,613,14840
336,4220,338,619,14823
337,4215,346,627,14812
338,4195,354,649,14802
339,4172,368,662,14798
340,4144,379,686,14791
341,4143,399,696,14762
342,4143,391,717,14749
343,4113,392,735,14760
344,4096,406,725,14773
345,4059,437,709,14795
346,4020,449,730,14801
347,4008,432,758,14802
348,3952,431,782,14835
349,3935,411,791,14863
350,3900,401,830,14869
351,3867,413,804,14916
352,3856,420,807,14917
353,3826,407,821,14946
354,3787,405,846,14962
355,3766,409,833,14992
356,3735,420,823,15022
357,3710,425,811,15054
358,3688,412,822,15078
359,3645,418,843,15094
360,3640,416,834,15110
361,3642,391,837,15130
362,3639,386,841,15134
363,3620,405,800,15175
364,3591,399,825,15185
365,3556,433,806,15205
366,3534,395,822,15249
367,3527,394,836,15243
368,3519,399,822,15260
369,3495,391,822,15292
370,3485,381,808,15326
371,3452,397,808,15343
372,3448,383,817,15352
373,3464,355,825,15356
374,3460,340,819,15381
375,3455,347,813,15385
376,3440,370,800,15390
377,3404,377,793,15426
378,3398,363,817,15422
379,3399,357,792,15452
380,3401,346,791,15462
381,3389,343,786,15482
382,3368,361,763,15508
383,3351,352,762,15535
384,3346,343,770,15541
385,3318,364,753,15565
386,3312,377,744,15567
387,3314,356,747,15583
388,3293,343,746,15618
389,3311,340,735,15614
390,3309,326,735,15630
391,3322,339,682,15657
392,3349,329,677,15645
393,3379,326,679,15616
394,3403,322,656,15619
395,3397,328,649,15626
396,3370,348,657,15625
397,3375,342,659,15624
398,3399,338,648,15615
399,3419,318,649,15614
400,3413,321,633,15633
401,3431,311,643,15615
402,3450,300,654,15596
403,3443,306,636,15615
404,3442,324,641,15593
405,3448,310,647,15595
406,3493,303,627,15577
407,3506,291,629,15574
408,3551,285,618,15546
409,3580,270,630,15520
410,3601,267,634,15498
411,3614,277,619,15490
412,3649,271,619,15461
413,3679,252,615,15454
414,3689,287,596,15428
415,3716,273,609,15402
416,3763,269,605,15363
417,3748,275,592,15385
418,3770,277,592,15361
419,3779,281,594,15346
420,3790,279,589,15342
421,3800,281,575,15344
422,3817,285,576,15322
423,3854,287,574,15285
424,3868,296,577,15259
425,3879,303,590,15228
426,3923,293,607,15177
427,3919,314,596,15171
428,3928,311,606,15155
429,3929,319,600,15152
430,3961,305,614,15120
431,3923,327,628,15122
432,3918,337,621,15124
433,3915,333,628,15124
434,3920,317,642,15121
435,3917,333,640,15110
436,3924,327,648,15101
437,3938,337,625,15100
438,3935,325,633,15107
439,3913,327,639,15121
440,3920,311,651,15118
441,3928,308,654,15110
442,3911,314,657,15118
443,3909,316,641,15134
444,3927,325,633,15115
445,3918,335,651,15096
446,3924,345,647,15084
447,3921,334,651,15094
448,3909,326,674,15091
449,3881,352,670,15097
450,3878,341,687,15094
451,3876,330,704,15090
452,3839,361,699,15101
453,3825,378,689,15108
454,3811,399,702,15088
455,3808,387,719,15086
456,3797,385,711,15107
457,3780,367,736,15117
458,3773,394,731,15102
459,3768,377,757,15098
460,3774,397,748,15081
461,3746,389,754,15111
462,3750,390,743,15117
463,3745,372,745,15138
464,3732,375,737,15156
465,3739,365,743,15153
466,3732,354,759,15155
467,3709,363,768,15160
468,3680,387,757,15176
469,3646,379,784,15191
470,3629,383,793,15195
471,3602,397,796,15205
472,3588,402,789,15221
473,3568,400,774,15258
474,3542,412,770,15276
475,3515,419,784,15282
476,3498,404,801,15297
477,3474,383,786,15357
478,3461,374,794,15371
479,3430,376,778,15416
480,3412,379,776,15433
481,3405,374,784,15437
482,3392,381,769,15458
483,3354,378,790,15478
484,3349,358,791,15502
485,3359,342,792,15507
486,3383,334,788,15495
487,3366,347,764,15523
488,3359,332,763,15546
489,3346,351,769,15534
490,3358,341,780,15521
491,3370,322,790,15518
492,3361,336,749,15554
493,3375,343,738,15544
494,3379,334,737,15550
495,3375,334,717,15574
496,3387,324,723,15566
497,3384,349,708,15559
498,3404,322,724,15550
499,3415,336,696,15553
500,3414,332,699,15555
501,3412,319,683,15586
502,3423,304,689,15584
503,3436,307,666,15591
504,3462,288,664,15586
505,3469,286,656,15589
506,3486,275,658,15581
507,3492,285,653,15570
508,3505,284,647,15564
509,3510,286,645,15559
510,3506,295,623,15576
511,3504,297,612,15587
512,3496,306,608,15590
513,3527,282,604,15587
514,3547,290,597,15566
515,3551,290,604,15555
516,3581,280,604,15535
517,3566,300,580,15554
518,3589,298,575,15538
519,3604,260,593,15543
520,3621,266,583,15530
521,3644,268,591,15497
522,3658,279,590,15473
523,3670,277,577,15476
524,3668,278,581,15473
525,3682,296,574,15448
526,3695,285,587,15433
527,3706,298,579,15417
528,3713,303,567,15417
529,3715,305,563,15417
530,3699,297,574,15430
531,3703,308,585,15404
532,3710,303,575,15412
533,3723,310,568,15399
534,3738,312,571,15379
535,3743,304,588,15365
536,3741,314,591,15354
537,3731,330,591,15348
538,3757,296,608,15339
539,3763,312,590,15335
540,3754,339,579,15328
541,3783,300,614,15303
542,3783,315,606,15296
543,3780,322,616,15282
544,3806,313,620,15261
545,3806,324,626,15244
546,3814,317,648,15221
547,3828,309,649,15214
548,3823,317,641,15219
549,3825,318,638,15219
550,3818,328,650,15204
551,3811,335,647,15207
552,3801,343,641,15215
553,3791,350,651,15208
554,3770,347,662,15221
555,3767,330,673,15230
556,3750,338,665,15247
557,3738,337,682,15243
558,3726,335,682,15257
559,3738,337,663,15262
560,3715,342,662,15281
561,3702,350,672,15276
562,3691,352,688,15269
563,3686,344,675,15295
564,3685,333,683,15299
565,3674,341,684,15301
566,3667,333,694,15306
567,3671,338,684,15307
568,3680,319,685,15316
569,3676,336,686,15302
570,3663,329,694,15314
571,3659,327,691,15323
572,3655,323,699,15323
573,3677,323,691,15309
574,3665,316,706,15313
575,3645,334,701,15320
576,3645,330,715,15310
577,3623,343,714,15320
578,3629,348,725,15298
579,3623,353,731,15293
580,3610,372,713,15305
581,3606,370,725,15299
582,3601,366,737,15296
583,3576,370,727,15327
584,3551,363,725,15361
585,3553,348,716,15383
586,3554,351,718,15377
587,3569,336,720,15375
588,3554,345,734,15367
589,3521,345,752,15382
590,3529,362,736,15373
591,3512,363,758,15367
592,3497,379,753,15371
593,3496,366,749,15389
594,3511,361,742,15386
595,3512,377,722,15389
596,3531,351,733,15385
597,3539,331,747,15383
598,3531,328,742,15399
599,3529,342,724,15405
600,3516,342,720,15422
601,3486,365,722,15427
602,3475,364,726,15435
603,3481,347,742,15430
604,3472,356,738,15434
605,3459,332,752,15457
606,3461,343,726,15470
607,3459,366,707,15468
608,3475,351,704,15470
609,3477,343,700,15480
610,3500,339,683,15478
611,3515,332,703,15450
612,3534,331,696,15439
613,3554,342,681,15423
614,3553,344,681,15422
615,3574,340,680,15406
616,3575,344,664,15417
617,3582,329,672,15417
618,3595,322,658,15425
619,3626,300,650,15424
620,3631,299,671,15399
621,3615,332,646,15407
622,3624,318,652,15406
623,3642,309,658,15391
624,3634,321,657,15388
625,3636,330,659,15375
