Day,S,E,I,R
0,19957,23,17,3
1,19942,36,17,5
2,19926,38,28,8
3,19910,43,34,13
4,19883,56,42,19
5,19852,69,55,24
6,19803,100,65,32
7,19750,129,77,44
8,19688,155,105,52
9,19589,205,148,58
10,19469,259,195,77
11,19292,367,240,101
12,19071,480,313,136
13,18841,572,415,172
14,18470,774,533,223
15,18063,955,689,293
16,17494,1241,876,389
17,16806,1571,1097,526
18,16035,1900,1385,680
19,15072,2353,1693,882
20,13973,2793,2128,1106
21,12747,3204,2656,1393
22,11387,3646,3216,1751
23,9934,4063,3811,2192
24,8516,4337,4439,2708
25,7087,4495,5136,3282
26,5710,4620,5716,3954
27,4525,4477,6300,4698
28,3560,4239,6643,5558
29,2750,3865,6977,6408
30,2090,3446,7075,7389
31,1565,3012,7100,8323
32,1195,2570,7031,9204
33,929,2146,6805,10120
34,767,1769,6468,10996
35,655,1423,6121,11801
36,536,1147,5767,12550
37,483,917,5305,13295
38,430,735,4849,13986
39,396,605,4433,14566
40,370,492,4014,15124
41,373,406,3597,15624
42,380,325,3231,16064
43,375,277,2882,16466
44,389,224,2584,16803
45,417,182,2319,17082
46,440,154,2070,17336
47,477,140,1832,17551
48,519,124,1653,17704
49,554,109,1473,17864
50,587,105,1298,18010
51,604,103,1120,18173
52,645,95,996,18264
53,696,91,894,18319
54,759,88,797,18356
55,807,82,702,18409
56,861,74,633,18432
57,911,61,550,18478
58,958,58,500,18484
59,1004,65,447,18484
60,1056,65,403,18476
61,1108,61,354,18477
62,1153,55,315,18477
63,1213,52,285,18450
64,1260,54,259,18427
65,1309,46,234,18411
66,1357,52,207,18384
67,1422,52,188,18338
68,1470,45,177,18308
69,1546,42,162,18250
70,1597,40,149,18214
71,1656,43,134,18167
72,1701,31,131,18137
73,1760,30,111,18099
74,1828,28,97,18047
75,1893,27,91,17989
76,1947,28,81,17944
77,1991,24,79,17906
78,2049,22,63,17866
79,2097,23,59,17821
80,2136,13,64,17787
81,2191,13,57,17739
82,2249,13,50,17688
83,2317,14,48,17621
84,2380,12,43,17565
85,2435,12,39,17514
86,2488,15,37,17460
87,2540,13,41,17406
88,2605,11,38,17346
89,2664,10,36,17290
90,2703,11,35,17251
91,2742,16,33,17209
92,2795,21,35,17149
93,2836,21,38,17105
94,2879,19,41,17061
95,2930,18,41,17011
96,2962,19,38,16981
97,3009,18,35,16938
98,3058,16,36,16890
99,3094,16,35,16855
100,3136,20,28,16816
101,3178,18,27,16777
102,3229,15,30,16726
103,3276,15,27,16682
104,3331,10,26,16633
105,3385,7,21,16587
106,3428,12,16,16544
107,3483,13,12,16492
108,3520,9,12,16459
109,3549,8,15,16428
110,3592,9,15,16384
111,3639,11,15,16335
112,3701,14,13,16272
113,3752,9,13,16226
114,3801,7,15,16177
115,3847,8,12,16133
116,3888,6,14,16092
117,3937,7,14,16042
118,3983,9,14,15994
119,4030,9,15,15946
120,4078,10,14,15898
121,4129,5,14,15852
122,4182,5,12,15801
123,4222,4,14,15760
124,4259,3,15,15723
125,4296,1,15,15688
126,4340,2,14,15644
127,4377,4,14,15605
128,4418,7,13,15562
129,4470,5,13,15512
130,4515,5,11,15469
131,4564,3,14,15419
132,4611,3,12,15374
133,4655,4,11,15330
134,4688,7,10,15295
135,4725,6,11,15258
136,4775,7,11,15207
137,4817,4,12,15167
138,4861,4,8,15127
139,4898,4,7,15091
140,4938,2,8,15052
141,4971,3,6,15020
142,5015,3,7,14975
143,5049,7,7,14937
144,5094,6,9,14891
145,5136,5,9,14850
146,5172,3,9,14816
147,5202,3,10,14785
148,5245,3,10,14742
149,5281,7,10,14702
150,5319,6,11,14664
151,5364,9,8,14619
152,5392,5,13,14590
153,5425,3,15,14557
154,5459,5,15,14521
155,5506,4,15,14475
156,5553,7,14,14426
157,5592,6,16,14386
158,5638,9,16,14337
159,5685,11,17,14287
160,5713,9,20,14258
161,5746,10,21,14223
162,5792,13,18,14177
163,5836,12,21,14131
164,5865,19,22,14094
165,5905,18,25,14052
166,5935,14,26,14025
167,5971,13,28,13988
168,6005,15,28,13952
169,6043,18,28,13911
170,6075,16,34,13875
171,6092,23,36,13849
172,6118,26,40,13816
173,6151,29,42,13778
174,6186,23,51,13740
175,6209,37,47,13707
176,6241,41,46,13672
177,6284,34,52,13630
178,6306,36,57,13601
179,6331,39,60,13570
180,6361,48,62,13529
181,6380,50,65,13505
182,6407,52,72,13469
183,6431,46,77,13446
184,6440,46,85,13429
185,6446,59,85,13410
186,6469,61,91,13379
187,6492,62,96,13350
188,6512,63,100,13325
189,6524,72,105,13299
190,6530,84,113,13273
191,6546,81,131,13242
192,6568,88,121,13223
193,6579,89,135,13197
194,6590,101,148,13161
195,6595,112,153,13140
196,6607,114,172,13107
197,6606,126,168,13100
198,6610,125,186,13079
199,6600,139,208,13053
200,6585,161,211,13043
201,6570,185,223,13022
202,6537,202,222,13039
203,6528,193,249,13030
204,6503,195,266,13036
205,6480,209,293,13018
206,6443,220,324,13013
207,6400,224,349,13027
208,6355,244,371,13030
209,6272,292,392,13044
210,6194,314,415,13077
211,6117,338,452,13093
212,6037,388,470,13105
213,5955,406,519,13120
214,5863,430,551,13156
215,5779,440,602,13179
216,5675,445,661,13219
217,5546,482,695,13277
218,5431,477,770,13322
219,5322,473,803,13402
220,5217,493,829,13461
221,5094,510,865,13531
222,4969,526,919,13586
223,4801,583,950,13666
224,4666,593,996,13745
225,4523,615,1012,13850
226,4382,628,1060,13930
227,4259,620,1091,14030
228,4131,618,1137,14114
229,4006,618,1169,14207
230,3864,633,1178,14325
231,3740,626,1192,14442
232,3610,625,1207,14558
233,3525,561,1238,14676
234,3429,549,1255,14767
235,3320,547,1239,14894
236,3229,535,1246,14990
237,3141,531,1218,15110
238,3033,572,1187,15208
239,2966,527,1212,15295
240,2905,510,1208,15377
241,2849,501,1167,15483
242,2783,501,1143,15573
243,2747,484,1122,15647
244,2671,485,1126,15718
245,2634,449,1107,15810
246,2602,429,1060,15909
247,2557,417,1057,15969
248,2513,407,1026,16054
249,2486,382,992,16140
250,2466,371,973,16190
251,2444,358,951,16247
252,2426,364,910,16300
253,2413,342,904,16341
254,2409,320,878,16393
255,2405,295,854,16446
256,2409,296,807,16488
257,2421,283,784,16512
258,2423,281,741,16555
259,2435,266,724,16575
260,2448,250,700,16602
261,2447,244,685,16624
262,2459,241,650,16650
263,2485,228,641,16646
264,2508,237,600,16655
265,2532,223,585,16660
266,2563,206,585,16646
267,2608,214,559,16619
268,2638,218,518,16626
269,2677,209,496,16618
270,2708,213,473,16606
271,2739,210,462,16589
272,2770,193,471,16566
273,2789,187,461,16563
274,2819,184,452,16545
275,2845,178,434,16543
276,2867,204,410,16519
277,2905,195,409,16491
278,2941,189,400,16470
279,2975,184,391,16450
280,3006,174,400,16420
281,3056,175,399,16370
282,3081,191,394,16334
283,3126,174,385,16315
284,3166,157,372,16305
