Day,S,E,I,R
0,19964,16,16,4
1,19950,26,18,6
2,19932,32,27,9
3,19913,41,29,17
4,19883,56,43,18
5,19839,87,51,23
6,19798,102,68,32
7,19748,126,85,41
8,19683,156,104,57
9,19606,190,127,77
10,19506,239,162,93
11,19368,306,211,115
12,19175,420,269,136
13,18927,550,346,177
14,18639,695,438,228
15,18211,911,592,286
16,17750,1106,774,370
17,17154,1371,1004,471
18,16412,1729,1244,615
19,15499,2155,1553,793
20,14450,2568,1990,992
21,13304,2998,2449,1249
22,11887,3587,2974,1552
23,10467,3999,3586,1948
24,8987,4409,4183,2421
25,7585,4620,4820,2975
26,6173,4696,5484,3647
27,4906,4594,6128,4372
28,3818,4379,6609,5194
29,2875,4090,7003,6032
30,2191,3639,7248,6922
31,1670,3180,7243,7907
32,1282,2698,7141,8879
33,989,2247,6980,9784
34,799,1836,6690,10675
35,669,1505,6276,11550
36,580,1209,5885,12326
37,529,974,5430,13067
38,482,793,4975,13750
39,454,637,4541,14368
40,435,513,4100,14952
41,431,417,3708,15444
42,430,351,3358,15861
43,454,291,2999,16256
44,456,249,2679,16616
45,466,223,2400,16911
46,491,186,2142,17181
47,514,141,1916,17429
48,534,134,1698,17634
49,556,125,1512,17807
50,599,114,1361,17926
51,636,116,1218,18030
52,681,104,1095,18120
53,730,106,975,18189
54,764,114,860,18262
55,800,112,774,18314
56,852,96,694,18358
57,911,95,617,18377
58,966,88,550,18396
59,1008,74,506,18412
60,1056,67,452,18425
61,1105,57,416,18422
62,1149,49,386,18416
63,1182,52,340,18426
64,1226,57,315,18402
65,1273,60,282,18385
66,1349,50,266,18335
67,1399,44,244,18313
68,1458,42,224,18276
69,1513,40,205,18242
70,1566,41,181,18212
71,1603,40,167,18190
72,1670,38,148,18144
73,1732,34,139,18095
74,1784,35,122,18059
75,1837,31,119,18013
76,1891,29,109,17971
77,1967,23,101,17909
78,2017,29,91,17863
79,2066,33,87,17814
80,2112,23,87,17778
81,2184,23,87,17706
82,2230,27,82,17661
83,2274,30,66,17630
84,2334,30,64,17572
85,2392,26,63,17519
86,2451,20,65,17464
87,2510,13,66,17411
88,2554,16,61,17369
89,2602,15,56,17327
90,2646,10,55,17289
91,2692,17,45,17246
92,2740,18,42,17200
93,2797,14,47,17142
94,2846,9,47,17098
95,2908,10,40,17042
96,2951,12,36,17001
97,3004,11,28,16957
98,3057,11,26,16906
99,3117,12,21,16850
100,3158,9,20,16813
101,3200,8,18,16774
102,3248,10,18,16724
103,3293,8,17,16682
104,3345,7,16,16632
105,3375,6,17,16602
106,3420,6,17,16557
