Day,S,E,I,R
0,19968,12,16,4
1,19949,25,20,6
2,19928,42,19,11
3,19906,53,28,13
4,19885,65,34,16
5,19856,71,54,19
6,19789,113,73,25
7,19733,127,104,36
8,19622,215,113,50
9,19503,281,150,66
10,19377,333,201,89
11,19196,425,263,116
12,18956,545,351,148
13,18644,700,463,193
14,18255,881,607,257
15,17774,1100,796,330
16,17180,1359,1038,423
17,16423,1740,1285,552
18,15493,2193,1599,715
19,14422,2655,2002,921
20,13147,3184,2490,1179
21,11754,3688,3042,1516
22,10241,4153,3699,1907
23,8718,4484,4403,2395
24,7260,4755,5031,2954
25,5903,4774,5755,3568
26,4654,4684,6371,4291
27,3577,4444,6863,5116
28,2736,4020,7250,5994
29,2061,3539,7397,7003
30,1544,3067,7391,7998
31,1195,2562,7307,8936
32,917,2146,7058,9879
33,708,1742,6777,10773
34,617,1357,6375,11651
35,522,1103,5885,12490
36,473,874,5432,13221
37,415,731,4919,13935
38,381,601,4474,14544
39,362,506,4011,15121
40,354,413,3628,15605
41,365,335,3266,16034
42,387,278,2898,16437
43,406,234,2592,16768
44,430,189,2288,17093
45,459,166,2017,17358
46,473,147,1801,17579
47,487,139,1590,17784
48,519,132,1395,17954
49,555,125,1242,18078
50,598,111,1124,18167
51,639,103,1000,18258
52,676,101,886,18337
53,725,101,799,18375
54,774,78,721,18427
55,814,81,647,18458
56,876,75,551,18498
57,935,62,502,18501
58,1006,62,455,18477
59,1044,60,396,18500
60,1093,59,360,18488
61,1149,51,343,18457
62,1205,55,307,18433
63,1246,53,284,18417
64,1295,46,261,18398
65,1365,34,247,18354
66,1413,37,225,18325
67,1473,39,206,18282
68,1527,39,196,18238
69,1582,37,178,18203
70,1636,37,162,18165
71,1690,41,149,18120
72,1742,43,141,18074
73,1785,36,145,18034
74,1839,39,132,17990
75,1882,33,126,17959
76,1943,34,108,17915
77,1980,43,96,17881
78,2031,41,92,17836
79,2086,39,86,17789
80,2139,30,88,17743
81,2203,29,87,17681
82,2264,28,83,17625
83,2302,29,80,17589
84,2334,25,84,17557
85,2384,23,85,17508
86,2422,26,74,17478
87,2475,30,67,17428
88,2531,32,65,17372
89,2580,26,69,17325
90,2626,28,59,17287
91,2691,24,54,17231
92,2746,22,51,17181
93,2789,22,51,17138
94,2837,24,44,17095
95,2895,19,46,17040
96,2940,18,48,16994
97,2982,16,46,16956
98,3030,17,45,16908
99,3075,20,45,16860
100,3116,20,47,16817
101,3165,21,47,16767
102,3212,13,56,16719
103,3275,17,54,16654
104,3309,26,51,16614
105,3346,23,56,16575
106,3390,25,54,16531
107,3431,17,57,16495
108,3466,20,52,16462
109,3517,23,50,16410
110,3575,19,41,16365
111,3613,16,40,16331
112,3648,19,39,16294
113,3697,18,34,16251
114,3760,18,32,16190
115,3805,20,29,16146
116,3850,14,35,16101
117,3904,12,36,16048
118,3936,23,37,16004
119,3982,18,34,15966
120,4014,15,37,15934
121,4070,13,35,15882
122,4121,14,32,15833
123,4154,14,32,15800
124,4201,11,31,15757
125,4238,17,25,15720
126,4288,17,27,15668
127,4330,15,28,15627
128,4364,11,30,15595
129,4404,15,24,15557
130,4439,14,23,15524
131,4475,15,27,15483
132,4532,14,27,15427
133,4589,12,30,15369
134,4626,16,28,15330
135,4667,16,28,15289
136,4714,21,28,15237
137,4740,22,25,15213
138,4780,20,25,15175
139,4815,23,27,15135
140,4850,20,29,15101
141,4888,21,33,15058
142,4916,25,41,15018
143,4960,27,45,14968
144,4995,30,44,14931
145,5037,32,48,14883
146,5082,33,49,14836
147,5120,37,45,14798
148,5152,32,52,14764
149,5194,28,55,14723
150,5222,29,55,14694
151,5258,29,61,14652
152,5290,30,60,14620
153,5307,27,70,14596
154,5333,39,69,14559
155,5369,40,74,14517
156,5388,43,77,14492
157,5409,50,79,14462
158,5436,51,87,14426
159,5462,55,85,14398
160,5476,63,96,14365
161,5514,59,99,14328
162,5528,68,109,14295
163,5552,69,112,14267
164,5588,67,116,14229
165,5597,78,120,14205
166,5603,80,123,14194
167,5627,84,135,14154
168,5644,89,143,14124
169,5652,91,161,14096
170,5669,96,159,14076
171,5672,89,175,14064
172,5670,105,173,14052
173,5666,119,184,14031
174,5678,127,199,13996
175,5668,153,214,13965
176,5655,169,225,13951
177,5660,163,248,13929
178,5637,174,265,13924
179,5619,178,289,13914
180,5596,211,289,13904
181,5565,218,313,13904
182,5526,236,318,13920
183,5487,237,359,13917
184,5454,252,366,13928
185,5420,256,383,13941
186,5355,267,405,13973
187,5296,303,415,13986
188,5269,304,430,13997
189,5226,311,471,13992
190,5174,330,504,13992
191,5103,336,534,14027
192,5046,321,579,14054
193,4992,311,589,14108
194,4942,327,577,14154
195,4876,348,586,14190
196,4808,368,594,14230
197,4743,384,593,14280
198,4692,392,613,14303
199,4642,382,637,14339
200,4591,361,668,14380
201,4517,394,672,14417
202,4452,413,675,14460
203,4382,413,711,14494
204,4322,419,733,14526
205,4251,410,743,14596
206,4190,403,770,14637
207,4112,431,775,14682
208,4043,424,789,14744
209,3981,425,797,14797
210,3926,405,813,14856
211,3857,419,835,14889
212,3789,414,830,14967
213,3736,415,836,15013
214,3648,421,831,15100
215,3595,414,832,15159
216,3542,426,834,15198
217,3478,430,839,15253
218,3421,440,849,15290
219,3364,443,863,15330
220,3335,412,864,15389
221,3286,406,858,15450
222,3256,371,848,15525
223,3222,358,841,15579
224,3190,368,804,15638
225,3143,379,791,15687
226,3114,358,799,15729
227,3067,350,782,15801
228,3070,338,758,15834
229,3052,324,758,15866
230,3061,323,731,15885
231,3045,314,728,15913
232,3019,322,713,15946
233,3016,301,717,15966
234,3009,280,709,16002
235,3012,282,689,16017
236,3019,286,662,16033
237,3000,293,660,16047
238,3003,289,653,16055
239,2998,268,666,16068
240,3002,278,637,16083
241,3000,300,614,16086
242,3031,259,620,16090
243,3030,256,608,16106
244,3039,249,609,16103
245,3046,240,601,16113
246,3023,255,592,16130
247,3037,254,567,16142
248,3035,247,578,16140
249,3056,243,578,16123
250,3067,235,590,16108
251,3063,262,564,16111
252,3070,265,557,16108
253,3072,263,558,16107
254,3090,261,548,16101
255,3089,279,526,16106
256,3108,257,545,16090
257,3139,234,541,16086
258,3165,235,541,16059
259,3185,236,550,16029
260,3215,231,537,16017
261,3235,214,533,16018
262,3256,209,524,16011
263,3274,220,510,15996
264,3286,214,510,15990
265,3310,208,499,15983
266,3332,204,493,15971
267,3374,197,476,15953
268,3410,203,457,15930
269,3434,201,458,15907
270,3466,191,451,15892
271,3508,195,438,15859
272,3531,189,439,15841
273,3542,189,452,15817
274,3574,185,451,15790
275,3618,167,458,15757
276,3642,165,468,15725
277,3637,194,442,15727
278,3666,199,441,15694
279,3674,207,447,15672
280,3680,210,454,15656
281,3684,224,428,15664
282,3705,231,445,15619
283,3715,257,430,15598
284,3746,240,436,15578
285,3759,247,445,15549
286,3774,237,454,15535
287,3801,215,460,15524
288,3831,218,465,15486
289,3845,229,476,15450
290,3854,234,472,15440
291,3891,217,484,15408
292,3902,227,476,15395
293,3902,246,478,15374
294,3917,249,471,15363
295,3930,252,488,15330
296,3962,256,491,15291
297,3965,290,499,15246
298,3993,284,503,15220
299,4008,276,516,15200
300,4024,269,521,15186
301,4044,281,521,15154
302,4061,283,512,15144
303,4080,277,526,15117
304,4101,275,516,15108
305,4116,266,528,15090
306,4111,280,534,15075
307,4128,267,551,15054
308,4140,269,569,15022
309,4140,289,564,15007
310,4157,303,571,14969
311,4178,294,555,14973
312,4156,299,582,14963
313,4188,290,572,14950
314,4167,309,579,14945
315,4161,330,574,14935
316,4150,338,599,14913
317,4135,342,609,14914
318,4101,344,626,14929
319,4103,333,640,14924
320,4054,362,632,14952
321,4031,347,648,14974
322,4015,336,674,14975
323,4015,338,674,14973
324,3980,352,680,14988
325,3973,357,679,14991
326,3945,355,696,15004
327,3921,361,715,15003
328,3905,354,727,15014
329,3872,379,717,15032
330,3846,369,750,15035
331,3825,374,747,15054
332,3781,403,750,15066
333,3786,380,780,15054
334,3771,378,776,15075
335,3755,374,787,15084
336,3734,385,753,15128
337,3717,382,767,15134
338,3695,379,776,15150
339,3685,369,786,15160
340,3680,362,807,15151
341,3646,384,800,15170
342,3621,382,777,15220
343,3622,374,793,15211
344,3607,379,779,15235
345,3607,369,781,15243
346,3629,341,804,15226
347,3585,362,800,15253
348,3585,369,793,15253
349,3524,400,791,15285
350,3527,364,800,15309
351,3510,386,781,15323
352,3522,382,775,15321
353,3538,360,766,15336
354,3527,371,766,15336
355,3503,378,763,15356
356,3473,391,761,15375
357,3488,361,766,15385
358,3467,379,760,15394
359,3469,357,782,15392
360,3480,372,749,15399
361,3474,373,734,15419
362,3498,354,726,15422
363,3507,332,720,15441
364,3542,336,715,15407
365,3541,324,730,15405
366,3553,330,729,15388
367,3567,336,712,15385
368,3560,328,732,15380
369,3584,336,715,15365
370,3577,340,701,15382
371,3577,339,683,15401
372,3561,350,685,15404
373,3549,369,660,15422
374,3549,335,680,15436
375,3573,330,686,15411
376,3594,322,677,15407
377,3611,331,681,15377
378,3602,320,695,15383
379,3613,318,687,15382
380,3625,327,671,15377
381,3629,318,669,15384
382,3633,330,658,15379
383,3631,329,676,15364
384,3651,316,681,15352
