Day,S,E,I,R
0,19968,12,18,2
1,19954,22,20,4
2,19931,41,21,7
3,19906,56,28,10
4,19880,73,34,13
5,19844,92,49,15
6,19794,116,72,18
7,19735,141,97,27
8,19651,182,131,36
9,19539,247,169,45
10,19387,324,218,71
11,19215,402,279,104
12,18961,539,350,150
13,18637,697,470,196
14,18204,920,631,245
15,17718,1148,805,329
16,17121,1422,1024,433
17,16340,1826,1273,561
18,15479,2191,1604,726
19,14445,2629,1999,927
20,13251,3085,2500,1164
21,11856,3663,3007,1474
22,10350,4127,3633,1890
23,8835,4508,4293,2364
24,7384,4753,4916,2947
25,6039,4746,5629,3586
26,4740,4693,6193,4374
27,3702,4394,6734,5170
28,2793,4090,7084,6033
29,2080,3652,7319,6949
30,1560,3129,7376,7935
31,1205,2576,7272,8947
32,943,2103,7091,9863
33,762,1695,6749,10794
34,632,1408,6310,11650
35,526,1188,5848,12438
36,445,978,5386,13191
37,406,764,4984,13846
38,385,599,4577,14439
39,363,482,4124,15031
40,378,394,3678,15550
41,391,310,3296,16003
42,403,252,2960,16385
43,406,219,2664,16711
44,423,185,2359,17033
45,448,162,2091,17299
46,470,151,1870,17509
47,514,131,1625,17730
48,552,131,1416,17901
49,586,118,1276,18020
50,626,106,1143,18125
51,663,100,1023,18214
52,716,77,922,18285
53,761,81,810,18348
54,792,79,724,18405
55,843,74,626,18457
56,902,66,557,18475
57,935,64,493,18508
58,992,63,430,18515
59,1021,70,395,18514
60,1080,64,357,18499
61,1120,67,311,18502
62,1172,63,286,18479
63,1209,57,265,18469
64,1275,51,252,18422
65,1331,53,224,18392
66,1385,40,215,18360
67,1428,42,196,18334
68,1502,39,188,18271
69,1547,43,170,18240
70,1605,42,151,18202
71,1665,43,146,18146
72,1710,42,140,18108
73,1768,32,130,18070
74,1827,34,112,18027
75,1878,31,104,17987
76,1936,22,98,17944
77,1995,21,86,17898
78,2053,20,79,17848
79,2110,14,82,17794
80,2165,22,76,17737
81,2212,19,66,17703
82,2254,21,57,17668
83,2310,24,59,17607
84,2366,20,59,17555
85,2414,19,56,17511
86,2466,13,60,17461
87,2516,20,56,17408
88,2567,22,52,17359
89,2613,22,50,17315
90,2657,20,42,17281
91,2697,20,38,17245
92,2754,20,30,17196
93,2813,12,35,17140
94,2864,14,33,17089
95,2916,15,31,17038
96,2974,11,33,16982
97,3017,8,31,16944
98,3075,10,30,16885
99,3123,12,27,16838
100,3157,18,27,16798
101,3194,14,27,16765
102,3248,18,25,16709
103,3298,16,28,16658
104,3330,15,31,16624
105,3377,15,28,16580
106,3420,12,31,16537
107,3461,10,29,16500
108,3502,9,34,16455
109,3548,9,30,16413
110,3585,11,24,16380
111,3636,15,21,16328
112,3681,14,24,16281
113,3730,11,27,16232
114,3772,8,30,16190
115,3824,9,24,16143
116,3863,11,24,16102
117,3905,16,21,16058
118,3939,17,20,16024
119,3984,16,22,15978
120,4023,15,24,15938
121,4066,17,19,15898
122,4116,14,23,15847
123,4160,13,26,15801
124,4217,12,26,15745
125,4248,18,21,15713
126,4301,17,22,15660
127,4338,12,28,15622
128,4384,13,30,15573
129,4432,16,25,15527
130,4479,16,23,15482
131,4515,17,24,15444
132,4546,17,29,15408
133,4577,15,32,15376
134,4620,17,31,15332
135,4650,19,32,15299
136,4686,20,36,15258
137,4722,24,38,15216
138,4760,30,32,15178
139,4792,28,31,15149
140,4849,25,39,15087
141,4887,31,34,15048
142,4939,27,42,14992
143,4974,28,38,14960
144,5012,24,41,14923
145,5061,24,42,14873
146,5099,20,45,14836
147,5147,24,40,14789
148,5191,30,40,14739
149,5230,21,43,14706
150,5269,18,43,14670
151,5304,21,48,14627
152,5344,19,48,14589
153,5382,21,51,14546
154,5422,27,45,14506
155,5455,33,52,14460
156,5489,39,57,14415
157,5512,32,67,14389
158,5543,38,66,14353
159,5578,38,64,14320
160,5602,47,65,14286
161,5625,61,66,14248
162,5647,58,73,14222
163,5673,61,76,14190
164,5690,64,82,14164
165,5717,61,84,14138
166,5733,65,86,14116
167,5747,69,95,14089
168,5768,72,102,14058
169,5777,74,110,14039
170,5790,89,112,14009
171,5799,98,117,13986
172,5811,91,130,13968
173,5827,102,128,13943
174,5833,111,137,13919
175,5838,104,156,13902
176,5844,105,167,13884
177,5845,126,166,13863
178,5864,114,187,13835
179,5884,127,195,13794
180,5890,124,214,13772
181,5867,142,219,13772
182,5860,142,228,13770
183,5862,160,229,13749
184,5850,164,250,13736
185,5847,161,261,13731
186,5838,170,275,13717
187,5815,201,291,13693
188,5786,217,309,13688
189,5755,217,341,13687
190,5713,233,361,13693
191,5693,232,382,13693
192,5637,247,404,13712
193,5592,265,400,13743
194,5546,284,420,13750
195,5487,307,457,13749
196,5438,331,478,13753
197,5379,344,510,13767
198,5293,380,544,13783
199,5215,399,566,13820
200,5147,411,593,13849
201,5051,423,643,13883
202,4973,430,683,13914
203,4877,438,724,13961
204,4772,448,765,14015
205,4672,463,791,14074
206,4591,479,830,14100
207,4498,486,858,14158
208,4407,504,874,14215
209,4312,522,901,14265
210,4195,533,953,14319
211,4099,545,967,14389
212,4010,523,1016,14451
213,3894,532,1007,14567
214,3818,524,1011,14647
215,3721,528,1003,14748
216,3635,531,1027,14807
217,3545,527,1035,14893
218,3461,528,1028,14983
219,3382,539,1031,15048
220,3305,546,1032,15117
221,3224,520,1058,15198
222,3164,489,1056,15291
223,3106,468,1040,15386
224,3051,461,1025,15463
225,3005,451,1018,15526
226,2956,441,1005,15598
227,2904,426,999,15671
228,2880,416,965,15739
229,2847,383,959,15811
230,2807,366,946,15881
231,2790,366,908,15936
232,2761,352,905,15982
233,2741,341,868,16050
234,2742,325,831,16102
235,2755,305,802,16138
236,2769,307,774,16150
237,2749,316,756,16179
238,2745,286,749,16220
239,2744,293,722,16241
240,2726,304,705,16265
241,2727,278,688,16307
242,2735,281,658,16326
243,2756,264,653,16327
244,2769,263,653,16315
245,2760,239,665,16336
246,2775,228,640,16357
247,2772,239,592,16397
248,2790,236,583,16391
249,2804,228,565,16403
250,2841,225,563,16371
251,2886,208,546,16360
252,2902,199,539,16360
253,2932,190,523,16355
254,2960,194,500,16346
255,2986,199,476,16339
256,2995,209,460,16336
257,3024,214,446,16316
258,3060,205,434,16301
259,3106,187,448,16259
260,3143,182,440,16235
261,3198,177,417,16208
262,3236,174,411,16179
263,3302,167,398,16133
264,3326,183,401,16090
265,3352,185,406,16057
