Day,S,E,I,R
0,19970,10,18,2
1,19958,18,21,3
2,19941,29,26,4
3,19920,42,29,9
4,19895,54,41,10
5,19863,72,46,19
6,19828,84,61,27
7,19780,108,77,35
8,19723,137,93,47
9,19652,181,103,64
10,19553,228,136,83
11,19418,295,184,103
12,19276,366,231,127
13,19098,442,296,164
14,18881,534,383,202
15,18569,701,474,256
16,18155,911,616,318
17,17657,1150,792,401
18,17034,1461,1002,503
19,16277,1785,1309,629
20,15357,2231,1603,809
21,14257,2719,2009,1015
22,13105,3117,2490,1288
23,11707,3618,3036,1639
24,10288,3970,3705,2037
25,8861,4267,4312,2560
26,7425,4524,4910,3141
27,6118,4553,5499,3830
28,4883,4518,6068,4531
29,3842,4270,6572,5316
30,2943,3994,6866,6197
31,2270,3579,7100,7051
32,1735,3123,7152,7990
33,1336,2653,7112,8899
34,1050,2236,6905,9809
35,829,1851,6583,10737
36,675,1530,6207,11588
37,571,1210,5856,12363
38,495,964,5433,13108
39,445,750,4956,13849
40,409,598,4505,14488
41,390,477,4084,15049
42,373,399,3712,15516
43,381,337,3359,15923
44,388,277,3028,16307
45,414,227,2683,16676
46,440,201,2373,16986
47,452,171,2112,17265
48,491,156,1842,17511
49,513,148,1661,17678
50,540,147,1469,17844
51,574,126,1326,17974
52,617,116,1173,18094
53,648,113,1042,18197
54,688,97,950,18265
55,744,91,855,18310
56,800,88,743,18369
57,836,81,665,18418
58,891,69,606,18434
59,929,67,533,18471
60,986,58,476,18480
61,1050,48,433,18469
62,1110,51,381,18458
63,1163,59,345,18433
64,1229,42,307,18422
65,1279,40,272,18409
66,1351,39,252,18358
67,1407,38,228,18327
68,1450,39,205,18306
69,1495,44,177,18284
70,1550,46,159,18245
71,1605,39,156,18200
72,1667,49,134,18150
73,1715,36,129,18120
74,1753,38,119,18090
75,1810,33,110,18047
76,1869,25,106,18000
77,1918,27,98,17957
78,1960,30,89,17921
79,2023,30,83,17864
80,2081,26,80,17813
81,2152,23,77,17748
82,2213,21,78,17688
83,2259,20,74,17647
84,2316,20,69,17595
85,2349,26,64,17561
86,2396,29,60,17515
87,2456,31,60,17453
88,2507,28,65,17400
89,2559,22,69,17350
90,2616,25,65,17294
91,2653,27,64,17256
92,2694,30,66,17210
93,2749,29,65,17157
