Day,S,E,I,R
0,19962,18,18,2
1,19949,25,23,3
2,19932,36,29,3
3,19904,51,36,9
4,19876,68,42,14
5,19840,87,57,16
6,19799,107,72,22
7,19739,133,97,31
8,19659,180,112,49
9,19550,229,156,65
10,19418,298,208,76
11,19237,406,268,89
12,19012,513,349,126
13,18770,616,438,176
14,18403,808,558,231
15,17957,1015,714,314
16,17381,1317,894,408
17,16709,1602,1172,517
18,15875,1973,1480,672
19,14870,2386,1877,867
20,13726,2841,2300,1133
21,12388,3368,2800,1444
22,10984,3801,3421,1794
23,9498,4217,4014,2271
24,7980,4559,4664,2797
25,6592,4683,5298,3427
26,5255,4694,5915,4136
27,4106,4546,6413,4935
28,3140,4250,6862,5748
29,2447,3762,7174,6617
30,1851,3299,7278,7572
31,1449,2738,7283,8530
32,1133,2355,6999,9513
33,907,1922,6787,10384
34,774,1522,6404,11300
35,643,1268,5934,12155
36,553,1044,5531,12872
37,484,842,5115,13559
38,468,649,4721,14162
39,445,530,4296,14729
40,408,447,3875,15270
41,409,362,3503,15726
42,401,314,3141,16144
43,429,262,2781,16528
44,435,227,2500,16838
45,463,186,2263,17088
46,485,155,2008,17352
47,493,150,1766,17591
48,511,146,1552,17791
49,544,133,1398,17925
50,578,114,1248,18060
51,636,106,1111,18147
52,686,101,979,18234
53,736,80,881,18303
54,763,84,781,18372
55,819,77,713,18391
56,877,76,630,18417
57,937,68,564,18431
58,978,62,500,18460
59,1035,61,434,18470
60,1110,58,390,18442
61,1174,58,350,18418
62,1232,51,306,18411
63,1278,51,276,18395
64,1334,41,255,18370
65,1387,37,232,18344
66,1446,32,216,18306
67,1505,20,197,18278
68,1544,33,172,18251
69,1584,35,159,18222
70,1645,30,140,18185
71,1697,30,135,18138
72,1750,30,121,18099
73,1814,28,111,18047
74,1862,30,101,18007
75,1925,29,99,17947
76,1985,23,87,17905
77,2032,21,80,17867
78,2076,20,80,17824
79,2125,22,69,17784
80,2181,22,67,17730
81,2243,15,66,17676
82,2289,17,59,17635
83,2342,21,55,17582
84,2399,26,50,17525
85,2444,23,49,17484
86,2495,24,44,17437
87,2566,18,48,17368
88,2608,21,49,17322
89,2651,21,48,17280
90,2703,20,44,17233
91,2758,16,37,17189
92,2808,17,32,17143
93,2855,16,31,17098
94,2895,11,34,17060
95,2950,9,36,17005
96,3006,10,34,16950
97,3057,11,34,16898
98,3106,11,33,16850
99,3152,16,29,16803
100,3187,12,27,16774
101,3242,10,28,16720
102,3299,13,25,16663
103,3357,13,25,16605
104,3391,12,29,16568
105,3442,13,28,16517
106,3477,10,29,16484
107,3533,10,28,16429
108,3585,9,28,16378
109,3632,11,29,16328
110,3669,14,31,16286
111,3718,13,34,16235
112,3764,12,34,16190
113,3816,11,38,16135
114,3847,14,35,16104
115,3892,14,37,16057
116,3932,15,36,16017
117,3966,23,33,15978
118,4009,24,31,15936
119,4047,24,32,15897
120,4077,25,37,15861
121,4119,23,36,15822
122,4158,28,36,15778
123,4193,23,41,15743
124,4232,21,45,15702
125,4265,26,49,15660
126,4297,31,50,15622
127,4328,40,53,15579
128,4369,34,54,15543
129,4385,42,55,15518
130,4424,38,59,15479
131,4463,39,54,15444
132,4504,42,57,15397
133,4550,39,62,15349
134,4581,41,66,15312
135,4612,41,62,15285
136,4659,40,61,15240
137,4692,41,68,15199
138,4731,44,72,15153
139,4754,47,65,15134
140,4787,46,70,15097
141,4817,45,81,15057
142,4842,50,80,15028
143,4876,54,74,14996
144,4914,51,79,14956
145,4950,52,84,14914
146,4974,56,88,14882
147,5006,59,91,14844
148,5039,53,95,14813
149,5060,56,97,14787
150,5070,63,104,14763
151,5087,74,104,14735
152,5098,78,115,14709
153,5118,72,117,14693
154,5141,75,127,14657
155,5161,82,131,14626
156,5173,88,131,14608
157,5207,90,129,14574
158,5211,103,141,14545
159,5218,106,152,14524
160,5210,116,163,14511
161,5216,108,187,14489
162,5211,130,187,14472
163,5210,134,195,14461
164,5204,141,204,14451
165,5197,153,214,14436
166,5190,144,235,14431
167,5192,148,234,14426
168,5189,158,240,14413
169,5186,167,248,14399
170,5198,154,268,14380
171,5199,153,286,14362
172,5192,155,310,14343
173,5179,168,313,14340
174,5142,198,318,14342
175,5139,203,320,14338
176,5139,212,329,14320
177,5101,231,334,14334
178,5079,229,364,14328
179,5064,231,380,14325
180,5020,262,379,14339
181,4994,263,407,14336
182,4934,291,428,14347
183,4906,295,438,14361
184,4883,285,480,14352
185,4838,301,509,14352
186,4787,315,532,14366
187,4725,325,553,14397
188,4669,321,576,14434
189,4603,343,599,14455
190,4530,369,604,14497
191,4472,373,608,14547
192,4422,373,638,14567
193,4378,366,651,14605
194,4306,387,682,14625
195,4245,380,701,14674
196,4182,390,709,14719
197,4139,405,710,14746
198,4068,427,730,14775
199,4008,425,749,14818
200,3963,428,748,14861
201,3887,418,781,14914
202,3838,435,790,14937
203,3786,410,818,14986
204,3722,418,833,15027
205,3663,408,847,15082
206,3591,422,857,15130
207,3543,432,848,15177
208,3474,440,876,15210
209,3435,410,879,15276
210,3365,404,900,15331
211,3323,417,881,15379
212,3273,409,857,15461
213,3233,374,872,15521
214,3175,382,840,15603
215,3152,355,847,15646
216,3126,342,840,15692
