Day,S,E,I,R
0,19965,15,18,2
1,19945,29,23,3
2,19926,43,25,6
3,19902,51,39,8
4,19863,78,46,13
5,19819,96,61,24
6,19766,123,80,31
7,19696,155,111,38
8,19613,202,134,51
9,19487,281,161,71
10,19342,343,227,88
11,19149,437,300,114
12,18914,561,378,147
13,18609,718,478,195
14,18221,912,609,258
15,17733,1165,785,317
16,17159,1404,997,440
17,16424,1755,1248,573
18,15541,2143,1576,740
19,14479,2592,1972,957
20,13285,3065,2455,1195
21,11913,3588,2972,1527
22,10478,4050,3552,1920
23,8928,4479,4243,2350
24,7475,4659,4963,2903
25,6050,4714,5705,3531
26,4817,4611,6287,4285
27,3719,4443,6691,5147
28,2837,4084,7095,5984
29,2139,3620,7324,6917
30,1582,3177,7313,7928
31,1230,2683,7196,8891
32,941,2245,6972,9842
33,754,1796,6710,10740
34,616,1476,6352,11556
35,510,1195,5926,12369
36,432,972,5489,13107
37,401,764,5012,13823
38,394,610,4568,14428
39,378,524,4105,14993
40,397,431,3694,15478
41,404,345,3316,15935
42,413,274,2975,16338
43,430,236,2646,16688
44,440,216,2352,16992
45,461,188,2102,17249
46,488,168,1890,17454
47,533,141,1687,17639
48,555,137,1513,17795
49,585,129,1334,17952
50,628,121,1191,18060
51,670,104,1074,18152
52,711,89,945,18255
53,749,95,841,18315
54,793,91,735,18381
55,831,88,663,18418
56,879,76,600,18445
57,923,70,536,18471
58,962,74,479,18485
59,1015,74,428,18483
60,1075,70,383,18472
61,1130,61,341,18468
62,1181,62,299,18458
63,1242,61,261,18436
64,1295,54,234,18417
65,1358,47,216,18379
66,1413,44,203,18340
67,1467,49,185,18299
68,1515,48,174,18263
69,1587,49,158,18206
70,1631,41,152,18176
71,1679,34,137,18150
72,1736,29,128,18107
73,1801,28,118,18053
74,1858,33,111,17998
75,1928,26,106,17940
76,1975,28,96,17901
77,2031,29,92,17848
78,2087,26,86,17801
79,2146,20,79,17755
80,2193,24,73,17710
81,2232,22,73,17673
82,2270,22,71,17637
83,2326,20,66,17588
84,2377,19,65,17539
85,2424,18,58,17500
86,2476,15,58,17451
87,2522,18,49,17411
88,2563,17,53,17367
89,2625,17,47,17311
90,2668,13,45,17274
91,2712,14,41,17233
92,2755,14,43,17188
93,2799,17,41,17143
94,2838,15,40,17107
95,2874,13,38,17075
96,2938,12,40,17010
97,2980,17,35,16968
98,3013,21,34,16932
99,3063,20,37,16880
100,3117,17,40,16826
101,3168,17,36,16779
102,3218,15,36,16731
103,3255,23,33,16689
104,3302,23,35,16640
105,3348,20,35,16597
106,3395,19,35,16551
107,3436,19,32,16513
108,3487,17,29,16467
109,3529,16,25,16430
110,3571,15,25,16389
111,3624,14,23,16339
112,3666,13,28,16293
113,3708,11,32,16249
114,3758,9,31,16202
115,3803,16,28,16153
116,3845,16,30,16109
117,3883,17,30,16070
118,3927,19,27,16027
119,3965,19,29,15987
120,4016,21,28,15935
121,4061,19,29,15891
122,4104,17,30,15849
123,4147,15,35,15803
124,4176,19,30,15775
125,4215,22,33,15730
126,4252,19,38,15691
127,4290,20,38,15652
128,4323,24,39,15614
129,4363,26,38,15573
130,4409,23,36,15532
131,4434,18,39,15509
132,4472,16,39,15473
133,4506,14,40,15440
134,4546,20,36,15398
135,4588,19,37,15356
136,4610,28,35,15327
137,4654,23,43,15280
138,4678,33,41,15248
139,4717,33,41,15209
140,4766,32,43,15159
141,4802,38,43,15117
142,4842,35,46,15077
143,4873,31,48,15048
144,4896,33,48,15023
145,4932,26,50,14992
146,4968,25,44,14963
147,4997,29,46,14928
148,5035,32,43,14890
149,5076,26,48,14850
150,5105,34,46,14815
151,5148,29,57,14766
152,5181,26,59,14734
153,5210,36,60,14694
