Day,S,E,I,R
0,19969,11,17,3
1,19958,20,14,8
2,19943,32,15,10
3,19919,42,27,12
4,19897,50,40,13
5,19863,76,44,17
6,19824,87,69,20
7,19763,126,84,27
8,19692,159,112,37
9,19617,186,146,51
10,19480,269,184,67
11,19331,338,239,92
12,19144,443,283,130
13,18916,549,365,170
14,18610,688,488,214
15,18202,902,616,280
16,17750,1099,775,376
17,17151,1409,974,466
18,16427,1743,1230,600
19,15596,2129,1507,768
20,14599,2503,1910,988
21,13376,3005,2340,1279
22,12071,3473,2863,1593
23,10676,3875,3497,1952
24,9225,4226,4175,2374
25,7705,4562,4800,2933
26,6339,4610,5476,3575
27,5076,4560,6089,4275
28,3972,4416,6515,5097
29,3056,4081,6917,5946
30,2314,3650,7228,6808
31,1787,3206,7321,7686
32,1341,2772,7258,8629
33,1032,2303,7121,9544
34,815,1874,6856,10455
35,637,1515,6513,11335
36,544,1204,6067,12185
37,458,976,5647,12919
38,416,765,5195,13624
39,394,611,4718,14277
40,371,489,4215,14925
41,366,409,3760,15465
42,372,341,3372,15915
43,379,305,3048,16268
44,401,246,2748,16605
45,404,216,2437,16943
46,428,189,2176,17207
47,460,146,1961,17433
48,495,130,1729,17646
49,536,115,1555,17794
50,567,108,1380,17945
51,606,88,1199,18107
52,647,86,1034,18233
53,677,95,921,18307
54,727,83,830,18360
55,768,78,735,18419
56,797,71,657,18475
57,865,69,580,18486
58,913,62,512,18513
59,974,53,453,18520
60,1028,60,406,18506
61,1081,60,359,18500
62,1140,49,326,18485
63,1184,44,305,18467
64,1220,52,260,18468
65,1283,47,235,18435
66,1342,44,215,18399
67,1396,44,192,18368
68,1451,43,176,18330
69,1504,37,163,18296
70,1563,33,145,18259
71,1611,35,129,18225
72,1664,35,110,18191
73,1720,32,104,18144
74,1763,30,98,18109
75,1819,29,94,18058
76,1874,26,87,18013
77,1934,22,89,17955
78,1982,26,83,17909
79,2033,28,78,17861
80,2090,27,74,17809
81,2140,29,71,17760
82,2195,26,68,17711
83,2245,29,65,17661
84,2301,26,62,17611
85,2350,22,66,17562
86,2392,21,65,17522
87,2442,19,63,17476
88,2499,16,65,17420
89,2547,17,61,17375
90,2589,25,58,17328
91,2635,25,54,17286
