Day,S,E,I,R
0,19969,11,19,1
1,19951,27,18,4
2,19937,34,20,9
3,19909,53,27,11
4,19885,59,43,13
5,19847,86,46,21
6,19810,103,57,30
7,19752,124,90,34
8,19676,160,119,45
9,19575,205,155,65
10,19451,275,192,82
11,19277,366,246,111
12,19050,490,323,137
13,18783,613,426,178
14,18433,792,533,242
15,17972,1046,676,306
16,17448,1255,901,396
17,16756,1574,1135,535
18,15911,1954,1433,702
19,14919,2421,1774,886
20,13816,2852,2199,1133
21,12508,3365,2671,1456
22,11140,3777,3296,1787
23,9670,4176,3920,2234
24,8195,4434,4594,2777
25,6760,4590,5289,3361
26,5444,4634,5868,4054
27,4322,4420,6434,4824
28,3374,4174,6788,5664
29,2542,3864,7017,6577
30,1942,3387,7152,7519
31,1512,2845,7182,8461
32,1150,2463,7008,9379
33,920,2003,6868,10209
34,734,1618,6588,11060
35,634,1303,6130,11933
36,545,1073,5669,12713
37,471,848,5233,13448
38,427,680,4782,14111
39,401,558,4349,14692
40,392,439,3934,15235
41,390,366,3496,15748
42,402,314,3142,16142
43,406,270,2818,16506
44,425,228,2516,16831
45,434,199,2253,17114
46,469,152,2007,17372
47,484,135,1780,17601
48,513,125,1537,17825
49,544,116,1374,17966
50,587,116,1196,18101
51,612,111,1072,18205
52,658,98,950,18294
53,705,100,835,18360
54,745,95,752,18408
55,802,78,663,18457
56,854,66,587,18493
57,885,71,542,18502
58,951,58,483,18508
59,1002,59,422,18517
60,1058,61,365,18516
61,1113,54,336,18497
62,1174,47,306,18473
63,1242,43,272,18443
64,1293,43,245,18419
65,1359,38,222,18381
66,1421,31,194,18354
67,1460,31,173,18336
68,1517,31,159,18293
69,1584,26,151,18239
70,1637,24,136,18203
71,1709,22,119,18150
72,1764,19,100,18117
73,1831,20,88,18061
74,1896,22,75,18007
75,1944,25,67,17964
76,2017,26,63,17894
77,2073,24,64,17839
78,2144,27,55,17774
79,2202,26,51,17721
80,2256,21,53,17670
81,2311,23,49,17617
82,2362,15,54,17569
83,2422,18,55,17505
84,2464,19,47,17470
85,2507,19,45,17429
86,2550,14,39,17397
87,2606,12,39,17343
88,2658,11,38,17293
89,2706,11,30,17253
90,2754,14,30,17202
91,2806,15,26,17153
92,2846,9,29,17116
93,2893,11,26,17070
94,2938,12,24,17026
95,2993,9,27,16971
96,3032,10,25,16933
97,3084,9,28,16879
98,3118,13,24,16845
99,3157,10,27,16806
100,3198,8,31,16763
101,3240,7,33,16720
102,3281,9,33,16677
103,3330,9,30,16631
104,3377,10,26,16587
105,3419,11,22,16548
106,3463,17,21,16499
107,3509,14,25,16452
108,3554,12,26,16408
109,3594,8,29,16369
110,3637,9,27,16327
111,3680,15,23,16282
112,3729,12,23,16236
113,3771,11,27,16191
114,3817,9,24,16150
115,3861,8,21,16110
116,3912,9,20,16059
117,3956,9,13,16022
118,3998,9,11,15982
119,4044,8,12,15936
120,4090,5,13,15892
121,4131,6,13,15850
122,4170,5,14,15811
123,4232,6,15,15747
124,4262,7,14,15717
125,4313,7,12,15668
126,4358,6,14,15622
127,4406,10,14,15570
128,4459,8,17,15516
129,4506,8,16,15470
130,4537,9,15,15439
131,4581,8,14,15397
132,4626,7,13,15354
133,4681,7,13,15299
134,4725,9,12,15254
135,4758,12,13,15217
136,4803,12,17,15168
137,4845,12,15,15128
138,4880,10,15,15095
139,4922,8,16,15054
140,4964,11,19,15006
141,4996,10,19,14975
142,5031,11,18,14940
143,5063,15,18,14904
144,5102,17,21,14860
145,5141,10,27,14822
146,5167,10,28,14795
147,5204,8,31,14757
148,5236,14,31,14719
149,5276,15,32,14677
150,5317,20,27,14636
151,5345,18,28,14609
152,5376,21,29,14574
153,5411,22,30,14537
154,5456,20,30,14494
155,5481,22,31,14466
156,5510,26,31,14433
157,5546,22,38,14394
158,5577,21,38,14364
159,5607,25,38,14330
160,5645,26,38,14291
161,5676,29,49,14246
162,5705,35,50,14210
163,5732,38,62,14168
164,5763,40,61,14136
165,5800,37,65,14098
166,5832,38,63,14067
167,5864,44,61,14031
168,5899,46,66,13989
169,5934,43,76,13947
170,5947,51,76,13926
171,5958,65,74,13903
172,5983,62,87,13868
173,6002,67,94,13837
174,6014,66,98,13822
175,6024,80,101,13795
176,6048,74,107,13771
177,6070,84,117,13729
178,6073,82,135,13710
179,6080,99,134,13687
180,6090,99,151,13660
181,6103,99,168,13630
182,6104,101,168,13627
183,6101,115,173,13611
184,6103,117,178,13602
185,6106,127,181,13586
186,6098,143,191,13568
187,6097,145,212,13546
188,6066,167,223,13544
189,6051,182,223,13544
190,6033,192,234,13541
191,6009,186,265,13540
192,5988,188,286,13538
193,5969,214,285,13532
194,5945,216,297,13542
195,5937,199,322,13542
196,5877,234,339,13550
197,5835,257,359,13549
198,5784,273,387,13556
199,5731,288,417,13564
200,5658,309,455,13578
201,5588,330,478,13604
202,5547,334,485,13634
203,5498,335,499,13668
204,5457,329,544,13670
205,5387,351,574,13688
206,5305,377,582,13736
207,5211,404,608,13777
208,5142,394,654,13810
209,5042,413,679,13866
210,4946,429,694,13931
211,4851,450,719,13980
212,4786,428,760,14026
213,4713,439,781,14067
214,4620,453,799,14128
215,4509,480,831,14180
216,4431,487,852,14230
217,4326,497,878,14299
218,4236,502,885,14377
219,4154,494,898,14454
220,4083,486,935,14496
221,4029,445,951,14575
222,3936,478,938,14648
223,3856,457,978,14709
224,3760,461,966,14813
225,3692,451,965,14892
226,3622,437,973,14968
227,3529,467,973,15031
228,3457,442,983,15118
229,3383,432,981,15204
230,3343,400,976,15281
231,3283,395,957,15365
232,3216,411,948,15425
233,3168,415,950,15467
234,3119,429,935,15517
235,3092,424,925,15559
236,3058,422,895,15625
237,3043,411,859,15687
238,2998,418,845,15739
239,2958,402,829,15811
240,2934,385,837,15844
241,2923,366,803,15908
242,2885,373,777,15965
243,2887,322,805,15986
244,2866,291,814,16029
245,2860,304,796,16040
246,2853,298,747,16102
247,2849,294,739,16118
248,2844,289,705,16162
249,2856,270,699,16175
250,2851,291,670,16188
251,2859,282,653,16206
252,2851,295,653,16201
253,2830,296,621,16253
254,2857,249,630,16264
255,2878,260,611,16251
256,2881,256,586,16277
257,2899,245,570,16286
258,2897,254,557,16292
259,2933,221,575,16271
260,2930,222,549,16299
261,2959,235,503,16303
262,2976,220,504,16300
263,2980,225,502,16293
264,3010,221,479,16290
265,3038,192,476,16294
266,3065,197,464,16274
267,3126,181,464,16229
268,3165,173,464,16198
269,3197,155,463,16185
270,3256,151,450,16143
271,3289,173,421,16117
272,3303,182,418,16097
273,3347,176,425,16052
274,3363,198,411,16028
275,3376,212,404,16008
276,3405,201,406,15988
277,3464,196,412,15928
278,3477,219,402,15902
279,3516,198,404,15882
280,3536,196,408,15860
281,3574,191,412,15823
282,3613,189,418,15780
283,3637,181,426,15756
284,3669,173,409,15749
285,3699,181,406,15714
286,3725,191,388,15696
287,3761,177,397,15665
288,3798,190,392,15620
289,3826,209,373,15592
290,3868,190,383,15559
291,3887,191,372,15550
292,3889,197,383,15531
293,3932,183,390,15495
294,3971,184,390,15455
295,4001,193,385,15421
296,4036,193,388,15383
297,4058,191,395,15356
298,4065,199,402,15334
299,4091,199,390,15320
300,4117,204,379,15300
301,4133,217,384,15266
302,4140,225,387,15248
303,4161,233,399,15207
304,4175,218,441,15166
305,4211,224,440,15125
306,4220,235,421,15124
307,4250,240,435,15075
308,4252,244,446,15058
309,4260,250,454,15036
310,4269,244,464,15023
311,4273,256,464,15007
312,4289,258,444,15009
313,4321,237,454,14988
314,4336,243,458,14963
315,4354,244,473,14929
316,4374,253,484,14889
317,4375,265,484,14876
318,4372,276,503,14849
