Day,S,E,I,R
0,19963,17,19,1
1,19951,27,18,4
2,19935,38,21,6
3,19917,46,30,7
4,19885,63,38,14
5,19836,96,50,18
6,19792,114,70,24
7,19733,145,89,33
8,19645,195,115,45
9,19548,238,154,60
10,19437,297,189,77
11,19282,375,243,100
12,19067,486,315,132
13,18806,605,413,176
14,18491,741,543,225
15,18086,955,667,292
16,17600,1169,864,367
17,16998,1430,1074,498
18,16217,1814,1328,641
19,15271,2249,1677,803
20,14215,2702,2037,1046
21,13057,3075,2548,1320
22,11696,3553,3093,1658
23,10210,4017,3693,2080
24,8706,4433,4296,2565
25,7291,4591,4997,3121
26,5961,4613,5670,3756
27,4748,4525,6259,4468
28,3701,4316,6722,5261
29,2850,4000,6982,6168
30,2208,3500,7219,7073
31,1689,3032,7246,8033
32,1295,2596,7128,8981
33,997,2211,6872,9920
34,791,1828,6600,10781
35,646,1490,6233,11631
36,563,1228,5809,12400
37,487,981,5402,13130
38,440,778,4933,13849
39,415,619,4532,14434
40,410,494,4119,14977
41,410,388,3748,15454
42,405,330,3367,15898
43,425,273,2985,16317
44,443,247,2667,16643
45,451,231,2346,16972
46,470,192,2105,17233
47,502,162,1883,17453
48,532,151,1675,17642
49,567,121,1517,17795
50,607,118,1337,17938
51,625,115,1182,18078
52,652,111,1052,18185
53,699,101,927,18273
54,735,99,835,18331
55,773,94,750,18383
56,820,91,680,18409
57,875,88,603,18434
58,935,71,533,18461
59,985,60,480,18475
60,1060,63,439,18438
61,1102,64,399,18435
62,1153,63,353,18431
63,1205,56,319,18420
64,1260,50,300,18390
65,1320,43,270,18367
66,1377,40,246,18337
67,1434,40,222,18304
68,1471,50,187,18292
69,1535,35,185,18245
70,1586,37,164,18213
71,1635,37,150,18178
72,1696,34,139,18131
73,1752,35,132,18081
74,1812,30,130,18028
75,1853,27,116,18004
76,1916,25,108,17951
77,1969,21,102,17908
78,2033,22,93,17852
79,2097,19,84,17800
80,2156,20,74,17750
81,2213,14,68,17705
82,2264,18,62,17656
83,2309,17,58,17616
84,2364,18,54,17564
85,2432,12,53,17503
86,2477,14,41,17468
87,2525,17,37,17421
