Day,S,E,I,R
0,19968,12,18,2
1,19957,18,23,2
2,19945,26,24,5
3,19916,48,27,9
4,19892,58,38,12
5,19852,82,50,16
6,19803,105,69,23
7,19739,137,90,34
8,19652,186,120,42
9,19553,218,178,51
10,19399,322,205,74
11,19205,422,286,87
12,18966,555,353,126
13,18678,679,479,164
14,18287,863,623,227
15,17800,1117,767,316
16,17217,1389,992,402
17,16474,1744,1242,540
18,15576,2142,1589,693
19,14532,2583,1973,912
20,13294,3096,2427,1183
21,12061,3499,2943,1497
22,10605,3979,3558,1858
23,9109,4408,4212,2271
24,7610,4663,4884,2843
25,6219,4704,5585,3492
26,4958,4628,6214,4200
27,3840,4408,6700,5052
28,2972,3992,7089,5947
29,2285,3559,7266,6890
30,1755,3075,7352,7818
31,1344,2649,7271,8736
32,1055,2211,7078,9656
33,821,1860,6703,10616
34,677,1503,6345,11475
35,552,1259,5906,12283
36,480,1033,5446,13041
37,443,820,4996,13741
38,408,686,4502,14404
39,411,543,4144,14902
40,388,446,3721,15445
41,405,350,3359,15886
42,424,287,3017,16272
43,423,236,2704,16637
44,445,195,2400,16960
45,456,177,2135,17232
46,487,175,1883,17455
47,507,151,1674,17668
48,529,141,1515,17815
49,557,128,1355,17960
50,599,114,1232,18055
51,632,94,1088,18186
52,669,95,980,18256
53,708,90,859,18343
54,770,76,765,18389
55,817,71,675,18437
56,868,72,584,18476
57,915,64,520,18501
58,968,64,452,18516
59,1003,65,401,18531
60,1060,55,372,18513
61,1126,54,327,18493
62,1178,52,299,18471
63,1211,58,276,18455
64,1258,50,248,18444
65,1312,45,233,18410
66,1353,54,208,18385
67,1418,44,193,18345
68,1485,41,165,18309
69,1533,36,153,18278
70,1583,35,143,18239
71,1624,34,122,18220
72,1665,34,111,18190
73,1712,39,97,18152
74,1767,32,97,18104
75,1818,28,95,18059
76,1876,30,91,18003
77,1932,28,81,17959
78,1986,28,76,17910
79,2045,23,75,17857
80,2111,18,70,17801
81,2173,20,62,17745
82,2222,16,65,17697
83,2285,16,55,17644
84,2333,18,55,17594
85,2397,16,55,17532
86,2441,17,52,17490
87,2480,18,47,17455
88,2523,20,43,17414
89,2578,17,43,17362
90,2628,14,43,17315
91,2685,20,40,17255
92,2717,17,35,17231
93,2755,19,33,17193
94,2808,16,32,17144
95,2859,14,30,17097
96,2922,15,26,17037
97,2967,17,24,16992
98,3020,17,23,16940
99,3077,17,22,16884
100,3130,12,27,16831
101,3178,14,26,16782
102,3221,16,23,16740
103,3259,17,22,16702
104,3308,13,25,16654
105,3353,14,26,16607
106,3405,12,29,16554
107,3451,15,28,16506
108,3492,16,27,16465
109,3546,13,26,16415
110,3589,16,22,16373
111,3625,17,27,16331
112,3659,18,30,16293
113,3685,22,28,16265
114,3734,21,24,16221
115,3767,19,30,16184
116,3815,20,29,16136
117,3856,23,28,16093
118,3891,19,27,16063
119,3934,21,25,16020
120,3996,19,27,15958
121,4047,18,28,15907
122,4075,16,28,15881
123,4108,18,21,15853
124,4142,16,27,15815
125,4184,17,29,15770
126,4229,15,31,15725
127,4275,18,29,15678
128,4309,16,30,15645
129,4352,12,33,15603
130,4394,13,33,15560
131,4435,14,32,15519
132,4466,16,31,15487
133,4515,13,31,15441
134,4564,14,32,15390
135,4602,17,33,15348
136,4631,21,30,15318
137,4658,21,35,15286
138,4685,22,37,15256
139,4725,23,37,15215
140,4763,19,40,15178
141,4808,16,42,15134
142,4830,23,43,15104
143,4865,22,40,15073
144,4904,24,39,15033
145,4938,24,38,15000
146,4976,21,44,14959
147,4998,22,42,14938
148,5042,19,40,14899
149,5076,20,43,14861
150,5113,24,46,14817
151,5146,32,46,14776
152,5174,34,47,14745
153,5217,34,46,14703
154,5246,37,43,14674
155,5280,33,46,14641
156,5306,29,54,14611
157,5341,35,51,14573
158,5374,28,59,14539
159,5405,32,56,14507
160,5435,29,64,14472
161,5463,31,65,14441
162,5503,32,64,14401
163,5539,37,69,14355
164,5571,37,73,14319
165,5596,35,68,14301
166,5619,40,67,14274
167,5652,40,72,14236
168,5684,45,72,14199
169,5708,51,77,14164
170,5719,66,74,14141
171,5744,66,87,14103
172,5766,63,97,14074
173,5784,63,107,14046
174,5790,77,109,14024
175,5791,82,110,14017
176,5809,82,115,13994
177,5827,80,130,13963
178,5839,86,143,13932
179,5866,88,149,13897
180,5892,82,157,13869
181,5892,106,156,13846
182,5895,112,167,13826
183,5903,114,169,13814
184,5895,130,184,13791
185,5891,126,195,13788
186,5890,121,207,13782
187,5869,146,202,13783
188,5868,155,211,13766
189,5852,170,225,13753
190,5827,181,254,13738
191,5810,198,274,13718
192,5772,218,297,13713
193,5760,216,320,13704
194,5745,211,345,13699
195,5707,234,357,13702
196,5658,252,382,13708
197,5620,266,402,13712
198,5589,262,447,13702
199,5538,285,466,13711
200,5470,305,488,13737
201,5407,322,523,13748
202,5351,327,555,13767
203,5266,346,566,13822
204,5212,362,588,13838
205,5129,396,584,13891
206,5056,412,604,13928
207,4978,407,631,13984
208,4892,413,676,14019
209,4805,414,719,14062
210,4747,424,732,14097
211,4668,427,762,14143
212,4558,432,822,14188
213,4437,474,816,14273
214,4350,474,841,14335
215,4259,486,852,14403
216,4193,477,887,14443
217,4121,462,912,14505
218,4018,487,905,14590
219,3931,506,905,14658
220,3852,491,946,14711
221,3760,508,938,14794
222,3700,486,954,14860
223,3610,466,975,14949
224,3550,445,986,15019
225,3469,484,963,15084
226,3420,443,995,15142
227,3351,450,984,15215
228,3289,438,992,15281
229,3224,439,990,15347
230,3179,448,970,15403
231,3128,421,973,15478
232,3074,427,954,15545
233,3009,433,920,15638
234,2965,390,939,15706
235,2926,401,909,15764
236,2923,364,905,15808
237,2892,355,878,15875
238,2880,335,856,15929
239,2862,328,829,15981
240,2848,336,798,16018
241,2839,325,781,16055
242,2830,318,758,16094
243,2828,307,734,16131
244,2818,294,709,16179
245,2825,271,696,16208
246,2833,257,689,16221
247,2821,272,667,16240
248,2845,260,654,16241
249,2843,244,645,16268
250,2842,248,615,16295
251,2871,231,598,16300
252,2879,239,592,16290
253,2897,235,586,16282
254,2918,234,566,16282
255,2945,235,535,16285
256,2978,219,541,16262
257,3000,214,531,16255
258,3029,206,518,16247
259,3045,213,489,16253
260,3074,197,498,16231
261,3105,195,493,16207
262,3131,200,479,16190
263,3155,214,457,16174
264,3192,202,449,16157
265,3199,217,436,16148
266,3226,212,445,16117
267,3267,194,453,16086
268,3276,216,420,16088
269,3315,201,421,16063
270,3362,190,433,16015
271,3394,190,412,16004
272,3418,180,412,15990
273,3454,197,414,15935
274,3501,189,412,15898
275,3532,184,394,15890
276,3556,177,393,15874
277,3603,170,402,15825
278,3635,181,408,15776
279,3648,208,398,15746
280,3649,225,394,15732
281,3666,215,405,15714
282,3700,213,399,15688
283,3733,221,389,15657
284,3774,222,395,15609
285,3796,225,395,15584
286,3815,214,422,15549
287,3842,205,427,15526
288,3850,221,416,15513
289,3878,218,428,15476
290,3887,208,441,15464
291,3909,211,448,15432
292,3924,224,452,15400
293,3939,235,449,15377
294,3956,245,455,15344
295,3980,250,476,15294
296,3997,260,479,15264
297,3995,276,462,15267
298,3990,279,482,15249
299,4003,256,506,15235
300,4001,263,523,15213
301,4028,251,532,15189
302,4018,264,542,15176
303,4028,271,561,15140
304,4027,278,550,15145
305,4053,271,549,15127
306,4045,297,540,15118
307,4052,292,576,15080
308,4058,286,564,15092
309,4053,301,560,15086
310,4039,301,563,15097
311,4037,314,561,15088
312,4048,304,582,15066
313,4028,312,587,15073
314,4027,298,606,15069
315,4004,319,600,15077
316,3982,338,598,15082
317,3971,331,587,15111
318,3960,320,610,15110
319,3954,313,621,15112
320,3957,310,626,15107
321,3958,302,645,15095
322,3943,302,653,15102
323,3940,310,653,15097
324,3910,316,655,15119
325,3915,315,641,15129
326,3898,315,633,15154
327,3888,319,666,15127
328,3866,340,673,15121
329,3851,324,688,15137
330,3854,320,687,15139
331,3836,319,682,15163
332,3837,304,679,15180
333,3826,329,668,15177
334,3795,345,687,15173
335,3804,321,695,15180
336,3777,340,698,15185
337,3761,350,702,15187
338,3745,365,699,15191
339,3741,359,711,15189
340,3736,353,717,15194
341,3759,348,709,15184
342,3744,361,715,15180
343,3732,379,728,15161
344,3725,386,720,15169
345,3723,369,733,15175
346,3700,365,734,15201
347,3710,358,750,15182
348,3687,363,762,15188
349,3672,352,763,15213
350,3671,353,770,15206
351,3662,364,766,15208
352,3660,355,760,15225
353,3650,362,774,15214
354,3619,384,777,15220
355,3610,380,801,15209
356,3593,370,828,15209
357,3597,362,791,15250
358,3597,351,792,15260
359,3603,333,796,15268
360,3611,344,773,15272
361,3614,338,747,15301
362,3601,366,710,15323
363,3596,365,713,15326
364,3588,353,716,15343
365,3621,336,721,15322
366,3623,336,706,15335
367,3629,343,706,15322
368,3606,362,712,15320
369,3597,361,711,15331
370,3616,339,739,15306
371,3612,341,730,15317
372,3595,351,728,15326
373,3585,362,721,15332
374,3591,348,736,15325
375,3588,357,725,15330
376,3575,357,719,15349
377,3549,370,718,15363
378,3579,345,722,15354
379,3591,334,711,15364
380,3593,332,726,15349
381,3604,319,749,15328
382,3602,311,751,15336
383,3592,320,747,15341
384,3597,332,729,15342
385,3583,343,718,15356
