Day,S,E,I,R
0,19964,16,16,4
1,19951,25,19,5
2,19940,29,23,8
3,19917,43,29,11
4,19896,46,43,15
5,19869,60,48,23
6,19805,103,64,28
7,19753,129,83,35
8,19675,168,112,45
9,19576,220,139,65
10,19457,274,184,85
11,19283,357,248,112
12,19083,457,315,145
13,18828,583,391,198
14,18510,736,490,264
15,18114,949,600,337
16,17657,1163,770,410
17,17034,1471,978,517
18,16281,1812,1264,643
19,15343,2258,1608,791
20,14291,2681,2031,997
21,13056,3110,2567,1267
22,11721,3585,3109,1585
23,10205,4122,3679,1994
24,8717,4433,4384,2466
25,7207,4724,5030,3039
26,5831,4820,5681,3668
27,4619,4685,6282,4414
28,3606,4377,6785,5232
29,2747,4041,7082,6130
30,2100,3576,7237,7087
31,1623,3054,7241,8082
32,1218,2669,7053,9060
33,976,2223,6818,9983
34,789,1805,6587,10819
35,653,1482,6165,11700
36,565,1181,5815,12439
37,493,939,5397,13171
38,439,770,4932,13859
39,414,596,4477,14513
40,402,484,4037,15077
41,392,405,3671,15532
42,383,351,3261,16005
43,403,286,2911,16400
44,431,233,2606,16730
45,436,216,2332,17016
46,465,178,2040,17317
47,514,146,1826,17514
48,540,130,1653,17677
49,566,114,1466,17854
50,610,98,1331,17961
51,634,102,1173,18091
52,682,86,1041,18191
53,717,83,915,18285
54,742,82,808,18368
55,799,89,707,18405
56,852,75,623,18450
57,908,76,551,18465
58,960,67,484,18489
59,1021,70,444,18465
60,1078,74,398,18450
61,1129,65,373,18433
62,1178,50,347,18425
63,1243,52,298,18407
64,1299,48,271,18382
65,1347,41,244,18368
66,1400,43,215,18342
67,1450,40,190,18320
68,1504,35,180,18281
69,1553,33,169,18245
70,1607,34,158,18201
71,1670,25,154,18151
72,1742,25,144,18089
73,1794,23,133,18050
74,1845,29,128,17998
75,1905,23,121,17951
76,1963,20,106,17911
77,2009,21,102,17868
78,2066,28,87,17819
79,2120,31,78,17771
80,2173,29,74,17724
81,2217,24,74,17685
82,2264,21,72,17643
83,2290,27,68,17615
84,2335,30,62,17573
85,2391,28,53,17528
86,2444,25,53,17478
87,2492,22,53,17433
88,2546,24,46,17384
89,2595,22,42,17341
90,2650,22,39,17289
91,2695,20,42,17243
92,2749,19,38,17194
93,2803,17,36,17144
94,2842,17,36,17105
95,2888,15,37,17060
96,2940,17,34,17009
97,2984,15,35,16966
98,3031,14,28,16927
99,3074,14,28,16884
100,3118,13,25,16844
101,3159,12,25,16804
102,3207,9,27,16757
103,3256,10,24,16710
104,3295,12,23,16670
105,3343,12,21,16624
106,3401,14,18,16567
107,3455,13,14,16518
108,3494,12,14,16480
109,3541,13,13,16433
110,3595,10,16,16379
111,3644,10,15,16331
112,3692,6,20,16282
113,3735,8,20,16237
114,3783,6,21,16190
115,3833,8,19,16140
116,3879,8,20,16093
117,3924,9,19,16048
118,3959,5,22,16014
119,4002,5,20,15973
120,4048,8,17,15927
121,4090,6,16,15888
122,4138,7,16,15839
123,4198,7,17,15778
124,4237,7,17,15739
125,4277,8,19,15696
126,4311,9,19,15661
127,4360,9,20,15611
128,4397,7,21,15575
129,4436,10,21,15533
130,4481,8,22,15489
131,4516,8,21,15455
132,4545,11,22,15422
133,4583,10,23,15384
134,4627,8,24,15341
135,4665,10,22,15303
136,4702,13,15,15270
137,4744,12,17,15227
138,4783,8,21,15188
139,4831,13,21,15135
140,4868,12,19,15101
141,4907,14,16,15063
142,4945,19,17,15019
143,4975,13,23,14989
144,5030,14,23,14933
145,5077,13,23,14887
146,5121,14,24,14841
147,5153,16,27,14804
148,5197,18,27,14758
149,5245,16,25,14714
150,5277,13,24,14686
151,5316,12,26,14646
152,5348,16,25,14611
153,5393,19,30,14558
154,5428,24,29,14519
155,5451,26,32,14491
156,5487,33,36,14444
157,5518,34,36,14412
158,5563,35,41,14361
159,5584,37,44,14335
160,5623,29,52,14296
161,5657,31,58,14254
162,5680,36,54,14230
163,5713,31,63,14193
164,5738,41,60,14161
165,5772,42,63,14123
166,5794,55,59,14092
167,5823,51,71,14055
168,5849,54,69,14028
169,5866,53,73,14008
170,5883,51,84,13982
171,5909,56,81,13954
172,5937,56,93,13914
173,5961,63,86,13890
174,5973,68,93,13866
175,6003,63,97,13837
176,6022,55,113,13810
177,6032,55,124,13789
178,6037,79,119,13765
179,6057,81,120,13742
180,6066,85,141,13708
181,6084,97,138,13681
182,6082,105,145,13668
183,6080,100,160,13660
184,6067,115,162,13656
185,6054,130,168,13648
186,6056,128,189,13627
187,6040,154,183,13623
188,6043,147,194,13616
189,6037,142,219,13602
190,6025,154,218,13603
191,6002,159,242,13597
192,5995,165,269,13571
193,5967,178,292,13563
194,5929,201,302,13568
195,5889,223,316,13572
196,5855,234,333,13578
197,5803,255,339,13603
198,5769,246,378,13607
199,5731,251,399,13619
200,5692,274,399,13635
201,5665,281,412,13642
202,5605,298,446,13651
203,5565,307,472,13656
204,5498,348,481,13673
205,5435,370,507,13688
206,5380,370,537,13713
207,5312,384,567,13737
208,5220,413,589,13778
209,5131,429,628,13812
210,5060,417,674,13849
211,4970,424,714,13892
212,4890,444,723,13943
213,4796,458,745,14001
214,4695,477,786,14042
215,4578,509,818,14095
216,4480,489,846,14185
217,4353,524,878,14245
218,4275,501,905,14319
219,4150,536,932,14382
220,4019,546,982,14453
221,3910,557,1002,14531
222,3835,526,1032,14607
223,3766,512,1028,14694
224,3678,511,1045,14766
225,3577,532,1027,14864
226,3500,524,1047,14929
227,3419,525,1025,15031
228,3342,538,1018,15102
229,3267,532,1016,15185
230,3189,515,1030,15266
231,3109,498,1054,15339
232,3071,468,1046,15415
233,3006,468,1020,15506
234,2953,436,1009,15602
235,2916,422,977,15685
236,2886,395,955,15764
237,2838,401,941,15820
