Day,S,E,I,R
0,19965,15,19,1
1,19949,25,23,3
2,19924,46,20,10
3,19906,52,30,12
4,19869,77,40,14
5,19827,96,58,19
6,19781,114,78,27
7,19720,144,99,37
8,19645,171,134,50
9,19523,244,162,71
10,19358,339,212,91
11,19165,442,268,125
12,18951,529,373,147
13,18644,675,486,195
14,18231,898,625,246
15,17726,1140,805,329
16,17083,1447,1045,425
17,16303,1818,1325,554
18,15382,2232,1659,727
19,14313,2663,2089,935
20,13042,3171,2597,1190
21,11680,3661,3126,1533
22,10232,4094,3740,1934
23,8755,4404,4393,2448
24,7239,4709,5050,3002
25,5901,4740,5749,3610
26,4617,4696,6305,4382
27,3550,4444,6818,5188
28,2724,4014,7149,6113
29,2077,3535,7320,7068
30,1615,2995,7389,8001
31,1246,2529,7281,8944
32,962,2188,6926,9924
33,790,1714,6699,10797
34,652,1359,6325,11664
35,525,1154,5845,12476
36,439,929,5359,13273
37,397,733,4936,13934
38,394,574,4472,14560
39,387,466,4034,15113
40,406,381,3597,15616
41,414,335,3175,16076
42,418,281,2810,16491
43,454,225,2499,16822
44,473,188,2186,17153
45,483,175,1922,17420
46,508,134,1741,17617
47,525,125,1534,17816
48,556,130,1349,17965
49,600,117,1194,18089
50,646,87,1047,18220
51,690,77,927,18306
52,736,75,821,18368
53,774,74,732,18420
54,814,67,645,18474
55,868,62,595,18475
56,915,70,524,18491
57,961,59,476,18504
58,1006,56,427,18511
59,1064,53,378,18505
60,1118,56,344,18482
61,1161,52,318,18469
62,1222,44,291,18443
63,1265,48,255,18432
64,1325,50,236,18389
65,1391,37,224,18348
66,1442,32,207,18319
67,1498,39,188,18275
68,1547,37,174,18242
69,1605,38,161,18196
70,1662,36,142,18160
71,1714,32,143,18111
72,1775,30,130,18065
73,1821,38,120,18021
74,1866,35,106,17993
75,1922,38,100,17940
76,1966,31,94,17909
77,2012,27,89,17872
78,2072,24,76,17828
79,2128,24,69,17779
80,2167,22,72,17739
81,2218,20,69,17693
82,2277,23,62,17638
83,2324,24,63,17589
84,2397,23,64,17516
85,2450,27,52,17471
86,2500,27,48,17425
87,2555,20,50,17375
88,2597,22,45,17336
89,2657,17,50,17276
90,2694,18,49,17239
91,2736,18,39,17207
92,2780,14,37,17169
93,2841,10,37,17112
94,2892,9,35,17064
95,2946,11,30,17013
96,2987,12,30,16971
97,3036,17,26,16921
98,3088,12,32,16868
99,3139,15,30,16816
100,3179,12,31,16778
101,3212,8,33,16747
102,3266,11,31,16692
103,3320,11,34,16635
104,3372,11,31,16586
105,3414,10,28,16548
106,3456,11,27,16506
107,3492,11,27,16470
108,3549,10,26,16415
109,3587,12,20,16381
110,3643,12,22,16323
111,3690,11,25,16274
112,3726,15,22,16237
113,3777,18,22,16183
114,3814,17,25,16144
115,3848,12,26,16114
116,3899,11,28,16062
117,3938,14,25,16023
118,3989,14,26,15971
119,4035,8,31,15926
120,4081,12,25,15882
121,4125,13,24,15838
122,4169,15,27,15789
123,4213,11,23,15753
124,4245,10,22,15723
