Day,S,E,I,R
0,19959,21,16,4
1,19939,31,22,8
2,19923,38,28,11
3,19903,46,36,15
4,19862,72,41,25
5,19830,83,55,32
6,19772,116,74,38
7,19711,154,89,46
8,19631,196,114,59
9,19531,244,150,75
10,19377,319,212,92
11,19162,453,269,116
12,18918,565,373,144
13,18610,710,486,194
14,18210,925,621,244
15,17706,1184,785,325
16,17075,1472,1003,450
17,16337,1774,1317,572
18,15452,2140,1655,753
19,14336,2669,2044,951
20,13072,3181,2537,1210
21,11695,3656,3116,1533
22,10262,4045,3779,1914
23,8774,4372,4396,2458
24,7310,4597,5043,3050
25,5895,4694,5681,3730
26,4691,4552,6273,4484
27,3658,4289,6730,5323
28,2826,3956,6998,6220
29,2168,3498,7179,7155
30,1672,3007,7188,8133
31,1271,2563,7100,9066
32,988,2097,6886,10029
33,788,1744,6512,10956
34,645,1420,6170,11765
35,547,1136,5785,12532
36,492,919,5322,13267
37,458,746,4902,13894
38,441,598,4463,14498
39,397,529,3981,15093
40,394,418,3580,15608
41,406,339,3211,16044
42,419,278,2875,16428
43,430,221,2589,16760
44,448,189,2297,17066
45,466,167,2057,17310
46,478,157,1829,17536
47,505,138,1633,17724
48,549,123,1455,17873
49,573,123,1305,17999
50,591,114,1164,18131
51,647,112,1004,18237
52,697,100,902,18301
53,728,94,820,18358
54,771,98,725,18406
55,831,86,665,18418
56,886,73,607,18434
57,928,76,537,18459
58,974,85,473,18468
59,1018,84,436,18462
60,1070,73,389,18468
61,1116,71,358,18455
62,1160,58,332,18450
63,1220,59,300,18421
64,1269,52,270,18409
65,1316,57,238,18389
66,1375,47,229,18349
67,1449,42,206,18303
68,1498,41,179,18282
69,1547,43,162,18248
70,1598,44,152,18206
71,1650,44,136,18170
72,1698,40,125,18137
73,1759,37,116,18088
74,1823,36,103,18038
75,1866,36,102,17996
76,1928,28,100,17944
77,1997,26,93,17884
78,2062,28,86,17824
79,2117,25,84,17774
80,2159,27,73,17741
81,2217,25,74,17684
82,2279,27,73,17621
83,2333,33,65,17569
84,2387,27,66,17520
85,2433,27,63,17477
86,2496,21,67,17416
87,2544,21,61,17374
88,2593,22,59,17326
89,2642,28,51,17279
90,2696,24,54,17226
91,2735,23,56,17186
92,2783,19,55,17143
93,2825,20,54,17101
94,2877,20,55,17048
95,2926,21,46,17007
96,2978,20,47,16955
97,3038,17,41,16904
98,3089,10,39,16862
99,3136,12,38,16814
100,3195,16,40,16749
101,3243,20,41,16696
102,3279,21,40,16660
103,3328,20,38,16614
104,3376,19,36,16569
105,3422,16,38,16524
106,3476,10,38,16476
107,3529,10,33,16428
108,3575,7,32,16386
109,3625,13,30,16332
110,3673,13,26,16288
111,3710,12,25,16253
112,3775,9,25,16191
113,3818,9,28,16145
114,3858,15,27,16100
115,3898,17,31,16054
116,3941,18,34,16007
117,3995,18,32,15955
118,4029,16,36,15919
119,4060,19,33,15888
120,4102,17,32,15849
121,4148,16,27,15809
122,4194,17,26,15763
123,4247,17,27,15709
124,4301,16,24,15659
125,4339,14,26,15621
126,4388,14,28,15570
127,4421,14,28,15537
128,4460,12,33,15495
129,4498,13,37,15452
130,4532,19,38,15411
131,4567,17,43,15373
132,4600,17,45,15338
133,4637,16,48,15299
134,4682,17,44,15257
135,4731,19,42,15208
136,4771,22,41,15166
137,4806,20,43,15131
138,4858,22,38,15082
139,4902,16,44,15038
140,4942,19,43,14996
141,4982,15,46,14957
142,5027,17,39,14917
143,5054,28,36,14882
144,5097,29,37,14837
145,5139,28,37,14796
146,5172,29,42,14757
147,5213,25,43,14719
