Day,S,E,I,R
0,19971,9,19,1
1,19958,21,17,4
2,19940,30,22,8
3,19913,43,31,13
4,19883,63,38,16
5,19837,93,50,20
6,19791,113,71,25
7,19722,157,89,32
8,19665,174,122,39
9,19562,233,158,47
10,19425,319,195,61
11,19236,414,267,83
12,19012,519,345,124
13,18765,614,454,167
14,18396,802,579,223
15,17953,1035,709,303
16,17416,1271,930,383
17,16707,1613,1191,489
18,15800,2083,1486,631
19,14797,2509,1888,806
20,13557,3036,2332,1075
21,12242,3446,2940,1372
22,10769,3922,3545,1764
23,9293,4250,4221,2236
24,7763,4570,4887,2780
25,6309,4661,5575,3455
26,4971,4670,6186,4173
27,3818,4541,6670,4971
28,2881,4200,7079,5840
29,2177,3769,7305,6749
30,1666,3223,7451,7660
31,1293,2727,7376,8604
32,990,2315,7144,9551
33,791,1878,6823,10508
34,664,1517,6431,11388
35,553,1226,6022,12199
36,473,1017,5498,13012
37,437,817,5055,13691
38,407,670,4616,14307
39,395,516,4219,14870
40,380,419,3789,15412
41,389,344,3396,15871
42,394,291,3054,16261
43,432,233,2705,16630
44,437,229,2358,16976
45,469,181,2118,17232
46,506,154,1891,17449
47,550,147,1686,17617
48,576,124,1510,17790
49,607,123,1339,17931
50,641,111,1215,18033
51,675,103,1073,18149
52,730,87,963,18220
53,789,86,857,18268
54,838,82,764,18316
55,864,86,696,18354
56,901,95,621,18383
57,949,80,560,18411
58,1007,85,506,18402
59,1043,83,451,18423
60,1084,76,418,18422
61,1133,69,374,18424
62,1185,61,328,18426
63,1241,56,297,18406
64,1305,56,270,18369
65,1365,58,247,18330
66,1428,43,232,18297
67,1484,43,204,18269
68,1537,39,195,18229
69,1589,42,176,18193
70,1661,45,162,18132
71,1704,44,152,18100
72,1769,41,145,18045
73,1819,45,140,17996
74,1887,35,129,17949
75,1940,31,120,17909
76,1999,27,111,17863
77,2046,25,99,17830
78,2105,26,93,17776
79,2154,23,90,17733
80,2220,21,79,17680
81,2272,23,70,17635
82,2331,22,67,17580
83,2398,22,59,17521
84,2457,19,54,17470
85,2509,20,55,17416
86,2561,25,50,17364
87,2612,22,48,17318
88,2653,19,47,17281
89,2707,16,44,17233
90,2757,12,46,17185
91,2804,10,41,17145
92,2854,11,39,17096
93,2914,11,38,17037
94,2962,13,35,16990
95,3008,12,36,16944
96,3060,12,31,16897
97,3109,12,31,16848
98,3162,13,31,16794
99,3229,13,29,16729
100,3278,11,28,16683
101,3322,9,26,16643
102,3361,8,31,16600
103,3406,16,28,16550
104,3440,19,31,16510
105,3487,17,28,16468
106,3536,19,27,16418
107,3580,14,33,16373
108,3611,18,31,16340
109,3651,19,28,16302
110,3695,20,27,16258
111,3752,21,27,16200
112,3800,18,30,16152
113,3849,13,32,16106
114,3890,13,33,16064
115,3929,15,30,16026
116,3964,15,31,15990
117,3999,19,29,15953
118,4034,20,28,15918
119,4085,16,30,15869
120,4122,14,34,15830
121,4165,19,31,15785
122,4226,15,35,15724
123,4265,14,35,15686
124,4302,15,34,15649
125,4342,13,32,15613
126,4379,20,27,15574
127,4414,15,32,15539
128,4449,16,34,15501
129,4479,17,37,15467
130,4516,24,33,15427
131,4562,21,37,15380
132,4594,28,39,15339
133,4618,30,39,15313
134,4662,29,37,15272
135,4697,36,38,15229
136,4739,35,38,15188
137,4783,33,42,15142
138,4819,38,45,15098
139,4862,36,52,15050
140,4884,31,57,15028
141,4910,33,61,14996
142,4934,35,60,14971
143,4968,33,57,14942
144,5001,36,64,14899
145,5023,41,66,14870
146,5048,41,69,14842
147,5073,42,75,14810
148,5087,43,74,14796
149,5126,42,75,14757
150,5145,43,79,14733
151,5174,31,90,14705
152,5201,36,88,14675
153,5221,48,86,14645
154,5241,50,91,14618
155,5265,61,93,14581
156,5305,60,105,14530
157,5325,65,104,14506
158,5333,70,122,14475
159,5352,82,122,14444
160,5359,92,132,14417
161,5363,107,140,14390
162,5367,110,154,14369
163,5385,109,163,14343
164,5392,114,172,14322
165,5393,119,180,14308
166,5382,128,196,14294
167,5377,144,202,14277
168,5361,155,217,14267
169,5367,155,236,14242
170,5368,152,250,14230
171,5351,162,252,14235
172,5345,160,270,14225
173,5325,164,281,14230
174,5303,171,298,14228
175,5271,179,319,14231
176,5248,196,317,14239
177,5243,189,329,14239
178,5221,201,337,14241
179,5210,214,336,14240
180,5179,229,354,14238
181,5167,212,369,14252
182,5132,232,382,14254
183,5123,242,383,14252
184,5103,244,401,14252
185,5059,243,432,14266
186,5035,250,445,14270
187,4991,273,467,14269
188,4931,292,497,14280
189,4885,307,500,14308
190,4837,313,516,14334
191,4781,318,545,14356
192,4735,321,579,14365
193,4680,344,601,14375
194,4619,361,627,14393
195,4575,352,655,14418
196,4512,368,667,14453
197,4457,370,676,14497
198,4383,399,686,14532
199,4319,401,713,14567
200,4234,440,717,14609
201,4162,433,743,14662
202,4112,435,747,14706
203,4058,423,757,14762
204,4003,437,761,14799
205,3930,444,783,14843
206,3859,462,777,14902
207,3812,456,812,14920
208,3756,455,826,14963
209,3671,472,832,15025
210,3629,458,846,15067
211,3554,464,860,15122
212,3509,467,880,15144
213,3429,481,887,15203
214,3390,443,914,15253
215,3333,428,916,15323
216,3302,403,910,15385
217,3242,416,897,15445
218,3176,414,884,15526
219,3155,401,870,15574
220,3144,394,849,15613
