Day,S,E,I,R
0,19962,18,15,5
1,19946,31,17,6
2,19922,47,21,10
3,19900,52,36,12
4,19869,65,51,15
5,19830,89,60,21
6,19783,110,78,29
7,19711,159,92,38
8,19627,205,119,49
9,19527,248,166,59
10,19376,321,219,84
11,19174,419,292,115
12,18911,563,380,146
13,18592,727,485,196
14,18188,937,614,261
15,17710,1155,800,335
16,17091,1417,1065,427
17,16322,1777,1332,569
18,15357,2231,1645,767
19,14245,2694,2050,1011
20,12976,3243,2524,1257
21,11642,3664,3114,1580
22,10138,4139,3743,1980
23,8662,4473,4367,2498
24,7213,4659,5064,3064
25,5825,4811,5615,3749
26,4605,4718,6167,4510
27,3591,4400,6694,5315
28,2769,4018,7024,6189
29,2105,3540,7242,7113
30,1552,3086,7280,8082
31,1191,2585,7180,9044
32,914,2134,7001,9951
33,755,1709,6627,10909
34,634,1360,6263,11743
35,525,1130,5756,12589
36,465,905,5295,13335
37,414,719,4837,14030
38,392,582,4398,14628
39,387,454,3981,15178
40,394,378,3592,15636
41,385,344,3193,16078
42,394,268,2858,16480
43,424,233,2523,16820
44,432,197,2263,17108
45,455,158,2001,17386
46,475,156,1767,17602
47,518,149,1563,17770
48,546,135,1385,17934
49,578,112,1237,18073
50,612,106,1099,18183
51,659,97,954,18290
52,701,88,841,18370
53,762,83,753,18402
54,804,83,664,18449
55,868,73,605,18454
56,909,69,541,18481
57,946,62,495,18497
58,1011,56,438,18495
59,1073,54,383,18490
60,1139,51,351,18459
61,1187,44,320,18449
62,1244,45,289,18422
63,1302,42,262,18394
64,1353,44,231,18372
65,1414,39,209,18338
66,1450,45,181,18324
67,1512,41,171,18276
68,1562,43,159,18236
69,1620,40,145,18195
70,1673,40,130,18157
71,1735,32,128,18105
72,1799,32,112,18057
73,1853,39,105,18003
74,1898,32,98,17972
75,1937,34,87,17942
76,1989,29,84,17898
77,2034,26,78,17862
78,2091,24,68,17817
79,2152,24,60,17764
80,2227,17,56,17700
81,2280,14,53,17653
82,2334,15,43,17608
83,2388,11,45,17556
84,2443,17,44,17496
85,2490,16,43,17451
86,2537,16,39,17408
87,2591,16,38,17355
88,2640,10,43,17307
89,2685,10,44,17261
90,2739,11,41,17209
91,2793,9,41,17157
92,2832,11,32,17125
93,2875,12,30,17083
94,2919,14,26,17041
95,2974,11,25,16990
96,3030,11,26,16933
97,3077,13,25,16885
98,3119,18,24,16839
99,3166,15,30,16789
100,3228,13,33,16726
101,3276,11,27,16686
102,3325,11,28,16636
103,3372,9,28,16591
104,3410,10,31,16549
105,3455,13,35,16497
106,3496,17,33,16454
107,3541,19,29,16411
108,3594,13,34,16359
109,3641,17,34,16308
110,3681,19,31,16269
111,3726,14,34,16226
112,3763,18,33,16186
113,3819,19,33,16129
114,3868,18,28,16086
115,3905,11,30,16054
116,3956,11,28,16005
117,3999,10,29,15962
118,4038,13,24,15925
119,4073,14,24,15889
120,4107,15,27,15851
121,4141,16,28,15815
122,4187,17,25,15771
123,4235,15,22,15728
124,4276,15,18,15691
125,4317,15,16,15652
126,4364,13,15,15608
127,4406,14,15,15565
128,4454,19,15,15512
129,4492,15,19,15474
130,4535,11,22,15432
131,4585,11,22,15382
132,4622,13,22,15343
133,4667,11,24,15298
134,4707,10,22,15261
135,4748,15,22,15215
136,4781,15,23,15181
137,4832,14,23,15131
138,4870,16,26,15088
139,4908,16,29,15047
140,4952,17,34,14997
141,4981,16,34,14969
142,5008,19,30,14943
143,5039,19,29,14913
144,5082,12,33,14873
145,5114,10,32,14844
146,5143,14,30,14813
147,5168,17,29,14786
148,5190,23,31,14756
149,5233,27,33,14707
150,5274,25,33,14668
151,5311,23,34,14632
152,5338,27,35,14600
153,5371,29,36,14564
154,5405,34,38,14523
155,5450,34,37,14479
156,5484,33,45,14438
157,5515,34,48,14403
158,5542,28,56,14374
159,5590,26,61,14323
160,5627,37,58,14278
161,5649,40,61,14250
162,5686,41,63,14210
163,5702,47,61,14190
164,5721,53,65,14161
165,5742,59,64,14135
166,5778,56,70,14096
167,5801,53,83,14063
168,5824,52,93,14031
169,5844,71,92,13993
170,5864,68,96,13972
171,5880,71,107,13942
172,5892,77,113,13918
173,5904,90,114,13892
174,5915,108,121,13856
175,5928,109,129,13834
176,5940,112,147,13801
177,5932,117,169,13782
