Day,S,E,I,R
0,19969,11,18,2
1,19946,32,18,4
2,19929,40,24,7
3,19901,56,29,14
4,19870,68,44,18
5,19829,89,58,24
6,19786,105,75,34
7,19741,114,101,44
8,19669,153,126,52
9,19572,210,149,69
10,19445,259,197,99
11,19246,376,256,122
12,19016,489,338,157
13,18720,642,436,202
14,18361,812,579,248
15,17893,1060,721,326
16,17311,1358,915,416
17,16572,1730,1155,543
18,15739,2081,1490,690
19,14707,2535,1885,873
20,13561,2959,2362,1118
21,12190,3527,2860,1423
22,10796,3902,3489,1813
23,9249,4356,4122,2273
24,7801,4551,4785,2863
25,6393,4674,5480,3453
26,5039,4726,6059,4176
27,3916,4515,6651,4918
28,2950,4225,7085,5740
29,2231,3744,7346,6679
30,1697,3212,7459,7632
31,1296,2730,7409,8565
32,995,2299,7194,9512
33,789,1894,6873,10444
34,639,1538,6506,11317
35,555,1214,6111,12120
36,491,963,5663,12883
37,438,763,5167,13632
38,398,646,4676,14280
39,373,524,4238,14865
40,384,429,3780,15407
41,394,351,3384,15871
42,401,296,3012,16291
43,419,251,2693,16637
44,451,200,2394,16955
45,468,186,2117,17229
46,484,167,1895,17454
47,520,143,1681,17656
48,552,138,1476,17834
49,589,118,1330,17963
50,621,107,1182,18090
51,670,93,1058,18179
52,721,78,924,18277
53,779,73,827,18321
54,828,72,733,18367
55,864,80,665,18391
56,926,80,597,18397
57,969,79,551,18401
58,1024,74,484,18418
59,1065,72,441,18422
60,1108,67,413,18412
61,1159,58,370,18413
62,1203,51,339,18407
63,1251,57,308,18384
64,1295,55,289,18361
65,1342,60,255,18343
66,1397,43,248,18312
67,1449,40,223,18288
68,1485,52,199,18264
69,1537,46,187,18230
70,1590,43,173,18194
71,1647,37,156,18160
72,1691,40,151,18118
73,1749,33,143,18075
74,1804,29,135,18032
75,1855,27,126,17992
76,1909,25,114,17952
77,1963,27,105,17905
78,2019,21,94,17866
79,2072,31,81,17816
80,2127,23,89,17761
81,2175,21,84,17720
82,2230,20,77,17673
83,2277,22,70,17631
84,2330,20,72,17578
85,2380,21,67,17532
86,2433,24,60,17483
87,2488,19,57,17436
88,2534,14,56,17396
89,2593,18,48,17341
90,2650,14,53,17283
91,2699,18,43,17240
92,2748,17,45,17190
93,2806,17,40,17137
94,2867,12,40,17081
95,2912,14,37,17037
96,2965,15,35,16985
97,3029,12,36,16923
98,3087,14,28,16871
99,3144,13,25,16818
100,3202,10,28,16760
101,3258,7,22,16713
102,3298,8,22,16672
103,3342,11,17,16630
104,3393,11,16,16580
105,3429,9,18,16544
106,3477,8,18,16497
107,3533,10,17,16440
108,3590,10,16,16384
109,3634,9,17,16340
110,3676,10,18,16296
111,3728,7,17,16248
112,3762,9,17,16212
113,3803,10,15,16172
114,3843,7,16,16134
115,3876,7,13,16104
116,3922,10,12,16056
117,3962,9,12,16017
118,4010,8,12,15970
119,4049,9,13,15929
120,4106,10,12,15872
121,4152,10,13,15825
122,4192,13,11,15784
123,4252,10,13,15725
124,4304,8,12,15676
125,4345,11,10,15634
126,4385,10,12,15593
127,4424,11,16,15549
128,4463,11,15,15511
129,4510,10,12,15468
130,4566,9,9,15416
131,4612,7,12,15369
132,4650,6,15,15329
133,4692,4,15,15289
134,4735,3,14,15248
135,4771,2,14,15213
136,4812,7,13,15168
137,4858,7,13,15122
138,4901,8,14,15077
139,4934,7,16,15043
140,4967,7,17,15009
141,5008,8,16,14968
142,5033,7,18,14942
143,5080,10,17,14893
144,5118,9,19,14854
145,5150,10,22,14818
146,5187,11,24,14778
147,5214,12,21,14753
148,5256,15,23,14706
149,5293,11,27,14669
150,5314,19,27,14640
151,5337,24,24,14615
152,5380,23,27,14570
153,5419,22,31,14528
154,5452,18,35,14495
155,5483,18,34,14465
156,5521,20,37,14422
157,5558,18,39,14385
158,5589,19,39,14353
159,5622,20,44,14314
160,5651,19,48,14282
161,5685,20,43,14252
162,5722,26,44,14208
163,5760,38,41,14161
164,5784,42,44,14130
165,5813,35,51,14101
166,5842,32,60,14066
167,5868,39,64,14029
168,5900,39,62,13999
169,5936,39,68,13957
170,5955,53,66,13926
171,5983,50,75,13892
172,6008,55,80,13857
173,6035,60,86,13819
