Date,CPU Utilization,Total Power,CPU Power,GPU Power
2026-01-26 23:49:13,0.10176619007569,15.04232000000047,15.04232000000047,0.00000000000000
2026-01-26 23:49:14,0.09899328859060,15.19997300000250,15.19997300000250,0.00000000000000
2026-01-26 23:49:15,0.13316582914573,15.02883099999599,15.02883099999599,0.00000000000000
2026-01-26 23:49:16,0.09045226130653,14.83449600000313,14.83449600000313,0.00000000000000
2026-01-26 23:57:23,0.10252100840336,14.75527299999521,14.75527299999521,0.00000000000000
2026-01-26 23:57:24,0.09319899244332,14.61763800000335,14.61763800000335,0.00000000000000
2026-01-26 23:57:25,0.10738255033557,15.42763399999967,15.42763399999967,0.00000000000000
2026-01-26 23:57:26,0.08808724832215,14.10097700000188,14.10097700000188,0.00000000000000
2026-01-27 00:13:11,0.09983221476510,15.09322299998894,15.09322299998894,0.00000000000000
2026-01-27 00:13:12,0.09591326105088,15.00258600000234,15.00258600000234,0.00000000000000
2026-01-27 00:13:13,0.08779264214047,15.03951200000301,15.03951200000301,0.00000000000000
2026-01-27 00:13:14,0.08764607679466,15.04036699999415,15.04036699999415,0.00000000000000
2026-01-27 00:13:15,0.08771929824561,14.99513999999908,14.99513999999908,0.00000000000000
2026-01-27 00:13:16,0.08688387635756,14.98494700000447,14.98494700000447,0.00000000000000
2026-01-27 00:13:17,0.08939014202172,15.01015400000324,15.01015400000324,0.00000000000000
2026-01-27 00:13:18,0.08771929824561,14.99599399999715,14.99599399999715,0.00000000000000
2026-01-27 00:13:19,0.09007506255213,15.00173099999665,15.00173099999665,0.00000000000000
2026-01-27 00:13:20,0.08764607679466,14.98769399999583,14.98769399999583,0.00000000000000
2026-01-27 00:13:21,0.08688387635756,15.00142600000254,15.00142600000254,0.00000000000000
2026-01-27 00:13:22,0.08855472013367,15.00624800000514,15.00624800000514,0.00000000000000
2026-01-27 00:13:23,0.08924103419516,14.99550599999202,14.99550599999202,0.00000000000000
2026-01-27 00:13:24,0.08702928870293,15.00344100000802,15.00344100000802,0.00000000000000
2026-01-27 00:13:25,0.08764607679466,15.01509799998894,15.01509799998894,0.00000000000000
2026-01-27 00:13:26,0.08757297748123,15.01107000000775,15.01107000000775,0.00000000000000
2026-01-27 00:13:27,0.10767946577629,15.05452700000023,15.05452700000023,0.00000000000000
2026-01-27 00:13:28,0.08764607679466,14.94417599998997,14.94417599998997,0.00000000000000
